Study Name	V44_832864
Sample Name	09-09-2025
Run Name	470C-5MeV_Fe-irrad
Operator	Alicia
Date	9/9/2025
Time	16:14
Sign	NEG
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	576
dt	50.000001E-12
time stamp (ms)	1:51:19 AM
	
Time	Amplitude
0.000000E+0	1.637634E-3
5.000000E-11	1.692448E-3
1.000000E-10	1.719855E-3
1.500000E-10	1.736985E-3
2.000000E-10	1.754114E-3
2.500000E-10	1.736985E-3
3.000000E-10	1.695874E-3
3.500000E-10	1.654764E-3
4.000000E-10	1.613653E-3
4.500000E-10	1.558839E-3
5.000000E-10	1.514302E-3
5.500000E-10	1.486895E-3
6.000000E-10	1.476617E-3
6.500000E-10	1.497173E-3
7.000000E-10	1.548561E-3
7.500000E-10	1.606801E-3
8.000000E-10	1.682171E-3
8.500000E-10	1.778096E-3
9.000000E-10	1.877446E-3
9.500000E-10	1.973371E-3
1.000000E-9	2.069296E-3
1.050000E-9	2.151518E-3
1.100000E-9	2.206332E-3
1.150000E-9	2.240591E-3
1.200000E-9	2.257720E-3
1.250000E-9	2.237165E-3
1.300000E-9	2.185776E-3
1.350000E-9	2.120685E-3
1.400000E-9	2.041889E-3
1.450000E-9	1.949390E-3
1.500000E-9	1.850039E-3
1.550000E-9	1.743837E-3
1.600000E-9	1.637634E-3
1.650000E-9	1.545135E-3
1.700000E-9	1.473191E-3
1.750000E-9	1.428655E-3
1.800000E-9	1.401248E-3
1.850000E-9	1.370415E-3
1.900000E-9	1.339582E-3
1.950000E-9	1.339582E-3
2.000000E-9	1.356711E-3
2.050000E-9	1.370415E-3
2.100000E-9	1.373841E-3
2.150000E-9	1.394396E-3
2.200000E-9	1.411525E-3
2.250000E-9	1.411525E-3
2.300000E-9	1.404674E-3
2.350000E-9	1.411525E-3
2.400000E-9	1.421803E-3
2.450000E-9	1.414951E-3
2.500000E-9	1.401248E-3
2.550000E-9	1.401248E-3
2.600000E-9	1.404674E-3
2.650000E-9	1.408099E-3
2.700000E-9	1.428655E-3
2.750000E-9	1.469765E-3
2.800000E-9	1.510876E-3
2.850000E-9	1.551987E-3
2.900000E-9	1.589672E-3
2.950000E-9	1.596523E-3
3.000000E-9	1.579394E-3
3.050000E-9	1.551987E-3
3.100000E-9	1.517728E-3
3.150000E-9	1.466340E-3
3.200000E-9	1.408099E-3
3.250000E-9	1.366989E-3
3.300000E-9	1.336156E-3
3.350000E-9	1.315600E-3
3.400000E-9	1.319026E-3
3.450000E-9	1.332730E-3
3.500000E-9	1.343008E-3
3.550000E-9	1.370415E-3
3.600000E-9	1.408099E-3
3.650000E-9	1.428655E-3
3.700000E-9	1.445784E-3
3.750000E-9	1.483469E-3
3.800000E-9	1.531431E-3
3.850000E-9	1.562264E-3
3.900000E-9	1.603375E-3
3.950000E-9	1.665041E-3
4.000000E-9	1.716430E-3
4.050000E-9	1.743837E-3
4.100000E-9	1.754114E-3
4.150000E-9	1.750688E-3
4.200000E-9	1.719855E-3
4.250000E-9	1.658189E-3
4.300000E-9	1.569116E-3
4.350000E-9	1.473191E-3
4.400000E-9	1.394396E-3
4.450000E-9	1.329304E-3
4.500000E-9	1.284767E-3
4.550000E-9	1.267638E-3
4.600000E-9	1.291619E-3
4.650000E-9	1.349859E-3
4.700000E-9	1.428655E-3
4.750000E-9	1.507450E-3
4.800000E-9	1.599949E-3
4.850000E-9	1.702726E-3
4.900000E-9	1.791799E-3
4.950000E-9	1.856891E-3
5.000000E-9	1.911705E-3
5.050000E-9	1.956242E-3
5.100000E-9	1.987075E-3
5.150000E-9	2.007630E-3
5.200000E-9	2.028186E-3
5.250000E-9	2.031611E-3
5.300000E-9	2.017908E-3
5.350000E-9	1.980223E-3
5.400000E-9	1.918557E-3
5.450000E-9	1.829484E-3
5.500000E-9	1.723281E-3
5.550000E-9	1.603375E-3
5.600000E-9	1.483469E-3
5.650000E-9	1.370415E-3
5.700000E-9	1.264212E-3
5.750000E-9	1.185417E-3
5.800000E-9	1.137454E-3
5.850000E-9	1.116899E-3
5.900000E-9	1.123751E-3
5.950000E-9	1.164861E-3
6.000000E-9	1.216250E-3
6.050000E-9	1.277916E-3
6.100000E-9	1.349859E-3
6.150000E-9	1.418377E-3
6.200000E-9	1.473191E-3
6.250000E-9	1.531431E-3
6.300000E-9	1.569116E-3
6.350000E-9	1.582820E-3
6.400000E-9	1.596523E-3
6.450000E-9	1.613653E-3
6.500000E-9	1.589672E-3
6.550000E-9	1.538283E-3
6.600000E-9	1.507450E-3
6.650000E-9	1.469765E-3
6.700000E-9	1.394396E-3
6.750000E-9	1.319026E-3
6.800000E-9	1.277916E-3
6.850000E-9	1.243657E-3
6.900000E-9	1.216250E-3
6.950000E-9	1.219675E-3
7.000000E-9	1.267638E-3
7.050000E-9	1.325878E-3
7.100000E-9	1.387544E-3
7.150000E-9	1.480043E-3
7.200000E-9	1.593097E-3
7.250000E-9	1.695874E-3
7.300000E-9	1.771244E-3
7.350000E-9	1.832910E-3
7.400000E-9	1.887724E-3
7.450000E-9	1.932261E-3
7.500000E-9	1.949390E-3
7.550000E-9	1.945964E-3
7.600000E-9	1.976797E-3
7.650000E-9	2.017908E-3
7.700000E-9	1.983649E-3
7.750000E-9	1.887724E-3
7.800000E-9	1.832910E-3
7.850000E-9	1.784947E-3
7.900000E-9	1.689022E-3
7.950000E-9	1.617079E-3
8.000000E-9	1.575968E-3
8.050000E-9	1.493747E-3
8.100000E-9	1.408099E-3
8.150000E-9	1.394396E-3
8.200000E-9	1.370415E-3
8.250000E-9	1.315600E-3
8.300000E-9	1.329304E-3
8.350000E-9	1.387544E-3
8.400000E-9	1.414951E-3
8.450000E-9	1.473191E-3
8.500000E-9	1.579394E-3
8.550000E-9	1.617079E-3
8.600000E-9	1.617079E-3
8.650000E-9	1.685597E-3
8.700000E-9	1.791799E-3
8.750000E-9	1.853465E-3
8.800000E-9	1.887724E-3
8.850000E-9	1.874020E-3
8.900000E-9	1.781521E-3
8.950000E-9	1.682171E-3
9.000000E-9	1.606801E-3
9.050000E-9	1.480043E-3
9.100000E-9	1.298471E-3
9.150000E-9	1.171713E-3
9.200000E-9	1.075788E-3
9.250000E-9	9.558819E-4
9.300000E-9	8.805124E-4
9.350000E-9	9.010677E-4
9.400000E-9	9.764373E-4
9.450000E-9	1.082640E-3
9.500000E-9	1.212824E-3
9.550000E-9	1.312175E-3
9.600000E-9	1.397822E-3
9.650000E-9	1.548561E-3
9.700000E-9	1.706152E-3
9.750000E-9	1.781521E-3
9.800000E-9	1.815780E-3
9.850000E-9	1.846613E-3
9.900000E-9	1.829484E-3
9.950000E-9	1.784947E-3
1.000000E-8	1.764392E-3
1.005000E-8	1.713004E-3
1.010000E-8	1.620505E-3
1.015000E-8	1.579394E-3
1.020000E-8	1.548561E-3
1.025000E-8	1.438932E-3
1.030000E-8	1.343008E-3
1.035000E-8	1.325878E-3
1.040000E-8	1.267638E-3
1.045000E-8	1.164861E-3
1.050000E-8	1.154584E-3
1.055000E-8	1.223101E-3
1.060000E-8	1.233379E-3
1.065000E-8	1.226527E-3
1.070000E-8	1.274490E-3
1.075000E-8	1.360137E-3
1.080000E-8	1.442358E-3
1.085000E-8	1.538283E-3
1.090000E-8	1.627356E-3
1.095000E-8	1.702726E-3
1.100000E-8	1.788373E-3
1.105000E-8	1.860317E-3
1.110000E-8	1.887724E-3
1.115000E-8	1.894576E-3
1.120000E-8	1.898002E-3
1.125000E-8	1.853465E-3
1.130000E-8	1.750688E-3
1.135000E-8	1.644486E-3
1.140000E-8	1.548561E-3
1.145000E-8	1.418377E-3
1.150000E-8	1.223101E-3
1.155000E-8	9.627337E-4
1.160000E-8	5.961635E-4
1.165000E-8	7.542818E-5
1.170000E-8	-6.645641E-4
1.175000E-8	-1.692331E-3
1.180000E-8	-3.076391E-3
1.185000E-8	-4.878409E-3
1.190000E-8	-7.139496E-3
1.195000E-8	-9.859653E-3
1.200000E-8	-1.299777E-2
1.205000E-8	-1.651958E-2
1.210000E-8	-2.035315E-2
1.215000E-8	-2.435802E-2
1.220000E-8	-2.839029E-2
1.225000E-8	-3.235062E-2
1.230000E-8	-3.612595E-2
1.235000E-8	-3.957582E-2
1.240000E-8	-4.262829E-2
1.245000E-8	-4.526280E-2
1.250000E-8	-4.741083E-2
1.255000E-8	-4.899017E-2
1.260000E-8	-5.008303E-2
1.265000E-8	-5.077848E-2
1.270000E-8	-5.098404E-2
1.275000E-8	-5.061062E-2
1.280000E-8	-4.978840E-2
1.285000E-8	-4.862703E-2
1.290000E-8	-4.707167E-2
1.295000E-8	-4.517030E-2
1.300000E-8	-4.310106E-2
1.305000E-8	-4.091192E-2
1.310000E-8	-3.864056E-2
1.315000E-8	-3.649595E-2
1.320000E-8	-3.461513E-2
1.325000E-8	-3.298441E-2
1.330000E-8	-3.170998E-2
1.335000E-8	-3.090832E-2
1.340000E-8	-3.053147E-2
1.345000E-8	-3.054860E-2
1.350000E-8	-3.099740E-2
1.355000E-8	-3.174424E-2
1.360000E-8	-3.263497E-2
1.365000E-8	-3.373126E-2
1.370000E-8	-3.505707E-2
1.375000E-8	-3.645826E-2
1.380000E-8	-3.778751E-2
1.385000E-8	-3.899342E-2
1.390000E-8	-4.002804E-2
1.395000E-8	-4.087766E-2
1.400000E-8	-4.153201E-2
1.405000E-8	-4.189858E-2
1.410000E-8	-4.191571E-2
1.415000E-8	-4.163136E-2
1.420000E-8	-4.105923E-2
1.425000E-8	-4.013424E-2
1.430000E-8	-3.891463E-2
1.435000E-8	-3.751686E-2
1.440000E-8	-3.599577E-2
1.445000E-8	-3.438217E-2
1.450000E-8	-3.277543E-2
1.455000E-8	-3.120637E-2
1.460000E-8	-2.971611E-2
1.465000E-8	-2.847594E-2
1.470000E-8	-2.760919E-2
1.475000E-8	-2.704392E-2
1.480000E-8	-2.672874E-2
1.485000E-8	-2.670818E-2
1.490000E-8	-2.700281E-2
1.495000E-8	-2.759549E-2
1.500000E-8	-2.844853E-2
1.505000E-8	-2.949000E-2
1.510000E-8	-3.064795E-2
1.515000E-8	-3.192924E-2
1.520000E-8	-3.326191E-2
1.525000E-8	-3.447810E-2
1.530000E-8	-3.554698E-2
1.535000E-8	-3.650280E-2
1.540000E-8	-3.721196E-2
1.545000E-8	-3.754085E-2
1.550000E-8	-3.756825E-2
1.555000E-8	-3.733872E-2
1.560000E-8	-3.675632E-2
1.565000E-8	-3.579364E-2
1.570000E-8	-3.457402E-2
1.575000E-8	-3.318654E-2
1.580000E-8	-3.167915E-2
1.585000E-8	-3.011009E-2
1.590000E-8	-2.854103E-2
1.595000E-8	-2.705420E-2
1.600000E-8	-2.575921E-2
1.605000E-8	-2.470746E-2
1.610000E-8	-2.392636E-2
1.615000E-8	-2.345359E-2
1.620000E-8	-2.331312E-2
1.625000E-8	-2.348442E-2
1.630000E-8	-2.394349E-2
1.635000E-8	-2.465607E-2
1.640000E-8	-2.559477E-2
1.645000E-8	-2.672188E-2
1.650000E-8	-2.795863E-2
1.655000E-8	-2.920908E-2
1.660000E-8	-3.040814E-2
1.665000E-8	-3.150100E-2
1.670000E-8	-3.245340E-2
1.675000E-8	-3.322422E-2
1.680000E-8	-3.375866E-2
1.685000E-8	-3.399162E-2
1.690000E-8	-3.390255E-2
1.695000E-8	-3.354968E-2
1.700000E-8	-3.294673E-2
1.705000E-8	-3.208340E-2
1.710000E-8	-3.098369E-2
1.715000E-8	-2.972982E-2
1.720000E-8	-2.840742E-2
1.725000E-8	-2.705077E-2
1.730000E-8	-2.568727E-2
1.735000E-8	-2.437515E-2
1.740000E-8	-2.320692E-2
1.745000E-8	-2.225795E-2
1.750000E-8	-2.156592E-2
1.755000E-8	-2.117879E-2
1.760000E-8	-2.111370E-2
1.765000E-8	-2.133981E-2
1.770000E-8	-2.183656E-2
1.775000E-8	-2.262109E-2
1.780000E-8	-2.367627E-2
1.785000E-8	-2.488561E-2
1.790000E-8	-2.615661E-2
1.795000E-8	-2.744817E-2
1.800000E-8	-2.868492E-2
1.805000E-8	-2.977778E-2
1.810000E-8	-3.067879E-2
1.815000E-8	-3.136397E-2
1.820000E-8	-3.178192E-2
1.825000E-8	-3.189155E-2
1.830000E-8	-3.170998E-2
1.835000E-8	-3.126119E-2
1.840000E-8	-3.055888E-2
1.845000E-8	-2.964074E-2
1.850000E-8	-2.855131E-2
1.855000E-8	-2.730086E-2
1.860000E-8	-2.594763E-2
1.865000E-8	-2.457728E-2
1.870000E-8	-2.322062E-2
1.875000E-8	-2.192906E-2
1.880000E-8	-2.078824E-2
1.885000E-8	-1.987353E-2
1.890000E-8	-1.920206E-2
1.895000E-8	-1.880465E-2
1.900000E-8	-1.871900E-2
1.905000E-8	-1.893484E-2
1.910000E-8	-1.942816E-2
1.915000E-8	-2.019556E-2
1.920000E-8	-2.120278E-2
1.925000E-8	-2.238471E-2
1.930000E-8	-2.366942E-2
1.935000E-8	-2.498496E-2
1.940000E-8	-2.624569E-2
1.945000E-8	-2.738993E-2
1.950000E-8	-2.837659E-2
1.955000E-8	-2.914741E-2
1.960000E-8	-2.963732E-2
1.965000E-8	-2.983602E-2
1.970000E-8	-2.972982E-2
1.975000E-8	-2.930501E-2
1.980000E-8	-2.860955E-2
1.985000E-8	-2.769141E-2
1.990000E-8	-2.656772E-2
1.995000E-8	-2.527616E-2
2.000000E-8	-2.390580E-2
2.005000E-8	-2.255258E-2
2.010000E-8	-2.125759E-2
2.015000E-8	-2.007566E-2
2.020000E-8	-1.907872E-2
2.025000E-8	-1.831132E-2
2.030000E-8	-1.778031E-2
2.035000E-8	-1.750967E-2
2.040000E-8	-1.753022E-2
2.045000E-8	-1.783513E-2
2.050000E-8	-1.840382E-2
2.055000E-8	-1.920891E-2
2.060000E-8	-2.019556E-2
2.065000E-8	-2.130898E-2
2.070000E-8	-2.251489E-2
2.075000E-8	-2.375164E-2
2.080000E-8	-2.493014E-2
2.085000E-8	-2.598532E-2
2.090000E-8	-2.688290E-2
2.095000E-8	-2.756808E-2
2.100000E-8	-2.798261E-2
2.105000E-8	-2.809567E-2
2.110000E-8	-2.792095E-2
2.115000E-8	-2.745845E-2
2.120000E-8	-2.671846E-2
2.125000E-8	-2.574208E-2
2.130000E-8	-2.456700E-2
2.135000E-8	-2.323433E-2
2.140000E-8	-2.181258E-2
2.145000E-8	-2.040112E-2
2.150000E-8	-1.905817E-2
2.155000E-8	-1.784540E-2
2.160000E-8	-1.683477E-2
2.165000E-8	-1.608107E-2
2.170000E-8	-1.562543E-2
2.175000E-8	-1.547469E-2
2.180000E-8	-1.564941E-2
2.185000E-8	-1.614274E-2
2.190000E-8	-1.692041E-2
2.195000E-8	-1.793105E-2
2.200000E-8	-1.911983E-2
2.205000E-8	-2.040454E-2
2.210000E-8	-2.171666E-2
2.215000E-8	-2.298424E-2
2.220000E-8	-2.412506E-2
2.225000E-8	-2.508088E-2
2.230000E-8	-2.581060E-2
2.235000E-8	-2.627652E-2
2.240000E-8	-2.644096E-2
2.245000E-8	-2.632106E-2
2.250000E-8	-2.592708E-2
2.255000E-8	-2.525903E-2
2.260000E-8	-2.434089E-2
2.265000E-8	-2.324803E-2
2.270000E-8	-2.203869E-2
2.275000E-8	-2.074371E-2
2.280000E-8	-1.941446E-2
2.285000E-8	-1.812633E-2
2.290000E-8	-1.693412E-2
2.295000E-8	-1.587552E-2
2.300000E-8	-1.500877E-2
2.305000E-8	-1.437840E-2
2.310000E-8	-1.400841E-2
2.315000E-8	-1.392961E-2
2.320000E-8	-1.414887E-2
2.325000E-8	-1.464562E-2
2.330000E-8	-1.539247E-2
2.335000E-8	-1.635514E-2
2.340000E-8	-1.748226E-2
2.345000E-8	-1.870873E-2
2.350000E-8	-1.996260E-2
2.355000E-8	-2.116852E-2
2.360000E-8	-2.226138E-2
2.365000E-8	-2.318637E-2
2.370000E-8	-2.389210E-2
2.375000E-8	-2.431006E-2
2.380000E-8	-2.443339E-2
2.385000E-8	-2.426895E-2
2.390000E-8	-2.382358E-2
2.395000E-8	-2.311100E-2
