run_name,date_time,grating_value[um],SAW_speed[m/s],SAW_freq[Hz],SAW_freq_error[Hz],A[Wm^-2],A_err[Wm^-2],alpha[m^2s^-1],alpha_err[m2s-1],beta[s^0.5],beta_err[s^0.5],B[Wm^-2],B_err[Wm^-2],theta,theta_err,tau[s],tau_err[s],C[Wm^-2],C_err[Wm^-2]
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-580.txt,2025_09_09_01:55:20,3.4,2459.3559,7.2333996e+08,7162.815,0.12327825,0.0013960341,9.7009283e-06,3.0365863e-08,3.4655596e-08,5.6989191e-07,0.013087449,8.5955951e-05,2.4333406,0.0043710719,2.06308e-08,1.6468605e-10,-0.00037716351,1.1508655e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-581.txt,2025_09_09_01:56:20,3.4,2457.4071,7.2276679e+08,8249.3712,0.11655467,0.00013299149,9.7903327e-06,1.4383844e-08,6.8051037e-09,NaN,0.012468916,5.6779198e-05,-3.0933249,0.0045303208,1.9817392e-08,NaN,-0.00038879498,9.9751594e-06
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-582.txt,2025_09_09_01:57:20,3.4,2459.9638,7.2351875e+08,7145.7504,0.12349127,0.0018939691,9.7019316e-06,4.156215e-08,1.0083267e-07,7.6831733e-07,0.0078473068,8.6894933e-05,2.8183473,0.0074317615,3.0755166e-08,4.3837364e-10,-0.00051211952,1.5901885e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-583.txt,2025_09_09_01:58:21,3.4,2459.4439,7.2336585e+08,6724.1871,0.12631641,0.001366615,9.6047936e-06,2.95991e-08,3.0933889e-07,5.3962781e-07,0.013732854,8.7090999e-05,-3.1260733,0.0042241818,2.0765098e-08,1.6142919e-10,-0.00070091174,1.192183e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-584.txt,2025_09_09_01:59:20,3.4,2457.7669,7.2287263e+08,7692.0986,0.12291349,0.002100239,9.7486892e-06,4.6894763e-08,3.2189752e-07,8.4841701e-07,0.0071826746,9.3356815e-05,-2.976304,0.0087488727,3.2457851e-08,5.4795594e-10,-0.00037492774,1.7767659e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-585.txt,2025_09_09_02:00:20,3.4,2459.3251,7.2333093e+08,7677.9958,0.12548537,0.0020174116,9.7808777e-06,4.5264646e-08,1.7973562e-06,7.7137987e-07,0.0075922766,9.5172854e-05,-2.8092126,0.0084143564,3.0326193e-08,4.9099936e-10,-0.00054092088,1.7259136e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-586.txt,2025_09_09_02:01:20,3.4,2458.6758,7.2313993e+08,8570.2446,0.11935183,0.00013584488,9.7556103e-06,1.4326422e-08,2.9109684e-14,NaN,0.012859718,5.9021367e-05,-3.1141636,0.0045651435,1.9488115e-08,NaN,-0.00044106068,1.0246014e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-587.txt,2025_09_09_02:02:21,3.4,2458.8176,7.2318163e+08,7552.2006,0.12271704,0.0013344296,9.6480125e-06,2.9687775e-08,1.7451637e-08,5.4483383e-07,0.01178488,7.7804366e-05,-3.1104699,0.0044071111,2.3021907e-08,1.8922819e-10,-0.00048136387,1.1533342e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-588.txt,2025_09_09_02:03:21,3.4,2458.5142,7.2309241e+08,7640.9687,0.11757547,0.0013633354,9.7239625e-06,3.1402841e-08,3.7919879e-08,5.8131224e-07,0.01189186,8.1920722e-05,2.7282791,0.0045816068,2.1529858e-08,1.8205122e-10,-0.00031655142,1.1381766e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-589.txt,2025_09_09_02:04:21,3.4,2458.9098,7.2320878e+08,6797.5599,0.12506696,0.0027908803,9.8276451e-06,6.2891779e-08,1.8087793e-06,1.068972e-06,0.006834631,0.00012482485,-2.1908871,0.012392623,3.2095944e-08,7.6446133e-10,-0.00072300193,2.3636941e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-590.txt,2025_09_09_02:05:22,3.4,2460.2567,7.236049e+08,7358.5768,0.12061202,0.00013074976,9.6956831e-06,1.3606825e-08,2.5541454e-11,NaN,0.012137478,7.7357426e-05,-2.9416324,0.0042806219,2.1860929e-08,1.7274632e-10,-0.00054555096,9.9539523e-06
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-591.txt,2025_09_09_02:06:22,3.4,2459.3935,7.2335104e+08,7321.2179,0.11995044,0.00013612358,9.6621673e-06,1.4221492e-08,2.6264826e-10,NaN,0.013015041,8.536044e-05,-3.1321799,0.0043786053,2.0503986e-08,1.6479902e-10,-0.00033002108,1.0415135e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-592.txt,2025_09_09_02:07:22,3.4,2460.3228,7.2362435e+08,7125.4385,0.12028279,0.001333495,9.5805848e-06,3.0238062e-08,4.9981269e-08,5.5620797e-07,0.013030922,8.4885788e-05,-3.1705093,0.0043365588,2.0897846e-08,1.6700293e-10,-0.00068327333,1.1695607e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-593.txt,2025_09_09_02:08:22,3.4,2460.0828,7.2355376e+08,7931.501,0.12086057,0.001948081,9.752826e-06,4.3699478e-08,5.7262799e-08,8.0699928e-07,0.0075094795,8.8566984e-05,2.9671178,0.007937037,3.0745651e-08,4.6720908e-10,-0.00065216408,1.6175107e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-594.txt,2025_09_09_02:09:22,3.4,2459.1376,7.2327577e+08,7704.2828,0.11999177,0.00013423033,9.6958458e-06,1.4039975e-08,3.1188395e-11,NaN,0.012701544,8.4048365e-05,-3.1270932,0.0044177353,2.0451909e-08,1.6578427e-10,-0.00046054738,1.021558e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-595.txt,2025_09_09_02:10:22,3.4,2459.0789,7.2325851e+08,7434.8331,0.11951531,0.0012856028,9.7086346e-06,2.9396637e-08,1.8620875e-08,5.3803389e-07,0.012331104,8.0876131e-05,-3.1221092,0.0043682929,2.0699632e-08,1.6633839e-10,-0.00052356177,1.09628e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-596.txt,2025_09_09_02:11:23,3.4,2459.397,7.2335205e+08,7397.4681,0.12105072,0.001957119,9.758846e-06,4.4414762e-08,3.99629e-07,8.0128783e-07,0.0072781306,8.898366e-05,-3.0875704,0.008213848,3.1408188e-08,4.9673437e-10,-0.00049259069,1.6520174e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-597.txt,2025_09_09_02:12:23,3.4,2459.6691,7.234321e+08,7554.2416,0.12025887,0.00013813392,9.7199745e-06,1.4431867e-08,1.5958036e-10,NaN,0.012379398,8.4541949e-05,-3.094854,0.0045653617,2.0954811e-08,1.7603532e-10,-0.00042751504,1.047284e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-598.txt,2025_09_09_02:13:23,3.4,2460.669,7.2372618e+08,7973.7857,0.11931389,0.00013404168,9.7747825e-06,1.4081607e-08,1.3927026e-11,NaN,0.012918997,8.4303248e-05,2.8800671,0.0043662979,1.9997888e-08,1.588373e-10,-0.00057862063,9.9782361e-06
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-599.txt,2025_09_09_02:14:23,3.4,2460.2698,7.2360877e+08,7629.8971,0.12006293,0.0019100843,9.7469828e-06,4.3628491e-08,2.4816327e-07,7.9112816e-07,0.0073159199,8.6423601e-05,-2.7965239,0.0079786674,3.1552489e-08,4.8331955e-10,-0.00034329541,1.6168305e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-600.txt,2025_09_09_02:15:23,3.4,2459.1512,7.2327978e+08,7635.2748,0.12051472,0.0018809423,9.7608794e-06,4.2833285e-08,3.0059376e-07,7.7502078e-07,0.0074589895,8.7756023e-05,-3.1589607,0.0078908713,3.0310122e-08,4.5930727e-10,-0.00046262261,1.5869823e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-601.txt,2025_09_09_02:16:23,3.4,2460.5317,7.236858e+08,7064.603,0.11880605,0.00013161197,9.6719489e-06,1.3888823e-08,1.3472614e-09,NaN,0.012404688,8.0635794e-05,-3.1630385,0.0043400238,2.1079421e-08,1.6862455e-10,-0.00057150467,1.0054472e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-602.txt,2025_09_09_02:17:23,3.4,2459.9986,7.2352901e+08,7774.0009,0.11565493,0.0021128954,9.8342437e-06,5.0076351e-08,4.6401645e-08,9.0988223e-07,0.0071146137,9.8246824e-05,-3.4074209,0.0092374264,3.0065209e-08,5.3377972e-10,-0.0005508022,1.7549367e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-603.txt,2025_09_09_02:18:23,3.4,2459.7674,7.23461e+08,7873.2832,0.12154781,0.0020827116,9.8103836e-06,4.6944767e-08,4.6088175e-08,8.5399778e-07,0.007084136,9.2832009e-05,-3.0055343,0.0088178907,3.1915047e-08,5.4220628e-10,-0.00041326636,1.7385659e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-604.txt,2025_09_09_02:19:24,3.4,2459.3406,7.2333548e+08,7916.971,0.11909101,0.00013302936,9.7578948e-06,1.4057849e-08,1.3107094e-08,NaN,0.011557523,7.853213e-05,-3.1276056,0.0045415702,2.181762e-08,1.8342093e-10,-0.00030749319,1.0023782e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-605.txt,2025_09_09_02:20:24,3.4,2458.4062,7.2306066e+08,8020.5555,0.11778354,0.00013546684,9.792576e-06,1.442685e-08,1.8963554e-10,NaN,0.012219754,8.4400695e-05,2.7227003,0.0045999343,2.0254854e-08,1.7033164e-10,-0.00040179056,1.0053974e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-606.txt,2025_09_09_02:21:24,3.4,2459.3726,7.2334489e+08,8030.6158,0.11848016,0.00013406782,9.7847745e-06,1.4258284e-08,2.4776105e-11,NaN,0.012537197,8.3900871e-05,-3.1311152,0.004466828,2.0234527e-08,1.6559379e-10,-0.0006053643,1.0061251e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-607.txt,2025_09_09_02:22:25,3.4,2459.5307,7.2339139e+08,7675.798,0.1205892,0.00013422359,9.7008086e-06,1.3972902e-08,9.8708879e-13,NaN,0.012753436,8.3663916e-05,-3.1555871,0.0043775497,2.0561709e-08,1.6534266e-10,-0.00042890642,1.0207183e-05
