run_name,date_time,grating_value[um],SAW_speed[m/s],SAW_freq[Hz],SAW_freq_error[Hz],A[Wm^-2],A_err[Wm^-2],alpha[m^2s^-1],alpha_err[m2s-1],beta[s^0.5],beta_err[s^0.5],B[Wm^-2],B_err[Wm^-2],theta,theta_err,tau[s],tau_err[s],C[Wm^-2],C_err[Wm^-2]
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-560.txt,2025_09_09_01:35:17,3.5217,2546.7965,7.2317247e+08,7096.256,0.12374492,0.0020466725,1.0373081e-05,4.851008e-08,9.3745352e-08,8.2688584e-07,0.0076172241,9.3744112e-05,-3.0189071,0.0082771809,3.1653976e-08,5.0453613e-10,-0.00071574035,1.7620793e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-561.txt,2025_09_09_01:36:17,3.5217,2547.2389,7.232981e+08,6802.2998,0.12396373,0.0013020607,1.0363822e-05,3.077548e-08,4.4809418e-08,5.2582884e-07,0.01324137,8.0993437e-05,-3.1317235,0.0040750559,2.1183467e-08,1.5932191e-10,-0.0006389069,1.1223761e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-562.txt,2025_09_09_01:37:17,3.5217,2545.4073,7.2277802e+08,7444.3405,0.12355905,0.0014450207,1.041152e-05,3.366611e-08,1.0320224e-07,5.8770267e-07,0.013367185,9.0078255e-05,2.2686531,0.0044639123,2.0383013e-08,1.6632792e-10,-0.00054990412,1.1902119e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-563.txt,2025_09_09_01:38:18,3.5217,2546.3567,7.230476e+08,7241.0287,0.12077668,0.00013377018,1.0358034e-05,1.4885486e-08,4.6220579e-11,NaN,0.013356521,8.4060486e-05,-3.1176397,0.0042018374,2.0471998e-08,1.5785798e-10,-0.00041493134,1.0248361e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-564.txt,2025_09_09_01:39:17,3.5217,2546.7835,7.2316877e+08,7115.099,0.13294405,0.0026341703,1.0577848e-05,5.8596685e-08,3.2679985e-06,9.3181343e-07,0.0069166129,0.00010950703,1.7844153,0.01057227,3.2966554e-08,6.7256812e-10,-0.00053679109,2.0629413e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-565.txt,2025_09_09_01:40:18,3.5217,2547.1152,7.2326296e+08,6798.9394,0.12280134,0.0013745361,1.0343018e-05,3.2522979e-08,1.9126819e-07,5.6079079e-07,0.012823021,8.3498178e-05,2.9418466,0.0043531249,2.1487953e-08,1.7202789e-10,-0.00049055462,1.1690873e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-566.txt,2025_09_09_01:41:17,3.5217,2545.9535,7.229331e+08,6958.6775,0.1263858,0.0021144875,1.0538454e-05,4.9470733e-08,1.5405086e-06,8.1131269e-07,0.0076372129,9.490454e-05,2.945919,0.0083559847,3.087936e-08,4.9449177e-10,-0.0004515886,1.7290248e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-567.txt,2025_09_09_01:42:18,3.5217,2545.1515,7.2270536e+08,7262.1237,0.11815964,0.0013063758,1.0528321e-05,3.2479733e-08,3.4879252e-08,5.5118622e-07,0.012208664,7.9959335e-05,-3.0857066,0.0043645196,2.1002401e-08,1.6893425e-10,-0.00034704648,1.089183e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-568.txt,2025_09_09_01:43:18,3.5217,2547.5683,7.2339163e+08,7457.032,0.12434213,0.0019808921,1.0480644e-05,4.7205268e-08,9.1071117e-07,7.8124126e-07,0.0076161277,9.0032661e-05,-3.0734218,0.0079435794,3.1354784e-08,4.7942181e-10,-0.0004078611,1.6686555e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-569.txt,2025_09_09_01:44:18,3.5217,2545.2754,7.2274055e+08,7322.8432,0.12225783,0.002133807,1.0438192e-05,5.1219047e-08,3.8494955e-08,8.7201246e-07,0.0071354159,9.4543439e-05,-3.0206043,0.0089127463,3.2770559e-08,5.6439496e-10,-0.00059813817,1.8130552e-05
