run_name,date_time,grating_value[um],SAW_speed[m/s],SAW_freq[Hz],SAW_freq_error[Hz],A[Wm^-2],A_err[Wm^-2],alpha[m^2s^-1],alpha_err[m2s-1],beta[s^0.5],beta_err[s^0.5],B[Wm^-2],B_err[Wm^-2],theta,theta_err,tau[s],tau_err[s],C[Wm^-2],C_err[Wm^-2]
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-1.txt,2025_09_09_16:14:51,3.5217,2530.9755,7.1868004e+08,6941.3454,0.098437832,0.0013770063,1.0795812e-05,4.1764097e-08,2.0852015e-07,6.8790042e-07,0.010388149,7.7622714e-05,-2.5057429,0.0049954243,2.2591012e-08,2.104246e-10,0.00064523231,1.1092116e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-2.txt,2025_09_09_16:15:51,3.5217,2529.8721,7.1836674e+08,7119.7013,0.099513608,0.0017991192,1.0842987e-05,5.3727997e-08,5.9479187e-07,8.8377301e-07,0.0065677463,7.7429205e-05,-2.8914947,0.0079204593,3.1573151e-08,4.8174865e-10,0.00036106399,1.4105807e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-3.txt,2025_09_09_16:16:51,3.5217,2531.3968,7.1879968e+08,6029.9866,0.11026006,0.0021474222,1.0738758e-05,5.8260978e-08,1.383581e-06,9.3935044e-07,0.0069966929,9.0225077e-05,-2.8851867,0.0086730832,3.3330575e-08,5.5960168e-10,0.0005350373,1.7189115e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-4.txt,2025_09_09_16:17:51,3.5217,2530.5819,7.1856829e+08,6691.342,0.10667712,0.0017857454,1.0717167e-05,4.9954374e-08,1.1990308e-06,8.1094577e-07,0.0079424371,8.1768794e-05,-2.8175257,0.0069192038,2.961844e-08,3.920772e-10,0.00053974758,1.4351986e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-5.txt,2025_09_09_16:18:52,3.5217,2530.4511,7.1853114e+08,6118.9884,0.10502236,0.0013541014,1.0610512e-05,3.8017616e-08,2.5215947e-07,6.3860831e-07,0.011913143,7.8437941e-05,-2.7070288,0.0044135027,2.209394e-08,1.8036226e-10,0.00038399525,1.1108779e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-6.txt,2025_09_09_16:19:52,3.5217,2532.0364,7.189813e+08,5570.7485,0.11483134,0.0028143549,1.0666424e-05,7.3617652e-08,1.8967909e-06,1.1718621e-06,0.0076225886,0.00012232434,-2.3444571,0.010891455,3.1934309e-08,6.6651551e-10,0.00053430567,2.2850278e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-7.txt,2025_09_09_16:20:52,3.5217,2531.7577,7.1890215e+08,5990.5999,0.11525471,0.0021389619,1.0706477e-05,5.7492457e-08,2.9052499e-06,8.6194671e-07,0.0085182491,9.9776107e-05,-1.7969645,0.0079260202,2.9991096e-08,4.5564413e-10,0.00045057238,1.7868271e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-8.txt,2025_09_09_16:21:52,3.5217,2532.9225,7.1923288e+08,6119.5815,0.11488166,0.0021728005,1.0737927e-05,5.8706772e-08,3.0331035e-06,8.7525886e-07,0.0082413919,0.00010078665,-1.8129555,0.0082748155,3.005047e-08,4.7675037e-10,0.00035496737,1.804001e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-9.txt,2025_09_09_16:22:52,3.5217,2532.2977,7.1905547e+08,6060.3841,0.11664237,0.003395749,1.0798556e-05,8.9092199e-08,2.516527e-06,1.3645396e-06,0.0069713119,0.00014680848,-1.9617383,0.014305918,3.2025879e-08,8.7971954e-10,0.00011012674,2.735491e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-10.txt,2025_09_09_16:23:52,3.5217,2532.1972,7.1902696e+08,5884.5937,0.11535051,0.0022507095,1.0798268e-05,6.0620846e-08,3.0067346e-06,9.0194515e-07,0.0076313705,9.7904708e-05,-1.7925495,0.0086894484,3.2551737e-08,5.4624897e-10,0.00045737216,1.8471484e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-11.txt,2025_09_09_16:24:52,3.5217,2531.5441,7.188415e+08,5696.4282,0.11604628,0.0021660065,1.0682439e-05,5.7754691e-08,2.8339464e-06,8.6877768e-07,0.0080665342,9.7982054e-05,-1.806441,0.0082218023,3.1480649e-08,4.9841733e-10,0.00026178107,1.8180942e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-12.txt,2025_09_09_16:25:52,3.5217,2532.3639,7.1907428e+08,5966.3262,0.10948546,0.00013999853,1.054507e-05,1.7320916e-08,8.1098799e-11,NaN,0.013018139,8.162579e-05,-2.7487299,0.0042130134,2.1875466e-08,1.7010097e-10,0.00031404091,1.0438151e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-13.txt,2025_09_09_16:26:53,3.5217,2531.3409,7.1878381e+08,6844.8093,0.11486334,0.0034668834,1.0804271e-05,9.2623745e-08,2.7666563e-06,1.4069773e-06,0.0067781457,0.00015182863,-1.8991732,0.015228468,3.138079e-08,9.1526349e-10,0.0004266732,2.7896544e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-14.txt,2025_09_09_16:27:53,3.5217,2531.91,7.1894541e+08,6148.1791,0.11623575,0.0022880237,1.0739688e-05,6.087979e-08,2.6856151e-06,9.1766942e-07,0.0077222604,0.00010025769,-1.8232491,0.0087884706,3.2598748e-08,5.5355234e-10,0.00018846531,1.8992664e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-15.txt,2025_09_09_16:28:53,3.5217,2532.3459,7.1906916e+08,5749.0846,0.12013988,0.0032431429,1.0683749e-05,8.2826275e-08,2.9552999e-06,1.2574598e-06,0.0070382398,0.00013648947,-2.0359826,0.01316122,3.41044e-08,8.6780995e-10,0.00013371592,2.672089e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-16.txt,2025_09_09_16:29:54,3.5217,2532.3955,7.1908325e+08,5681.1957,0.11449334,0.002231143,1.0790965e-05,6.0355439e-08,2.7277107e-06,9.06381e-07,0.0076046622,9.6360776e-05,-1.8230353,0.0085789726,3.2954342e-08,5.4677071e-10,0.00026908242,1.8337232e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-17.txt,2025_09_09_16:30:53,3.5217,2531.8357,7.1892429e+08,5692.6129,0.11854691,0.0022495013,1.0774318e-05,5.9002531e-08,3.1227125e-06,8.7553936e-07,0.007827842,9.6738912e-05,-1.8392315,0.0083645387,3.3280867e-08,5.3900503e-10,0.00037765628,1.8548225e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-18.txt,2025_09_09_16:31:53,3.5217,2532.0563,7.1898693e+08,5767.6612,0.1148627,0.0032022744,1.0690904e-05,8.5344757e-08,2.7269728e-06,1.3047215e-06,0.0065792214,0.0001335469,-1.9829846,0.013787664,3.4489323e-08,9.199063e-10,0.00044812201,2.6347827e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-19.txt,2025_09_09_16:32:54,3.5217,2531.5458,7.1884197e+08,6057.9145,0.11728049,0.0024373854,1.0791998e-05,6.4588746e-08,3.0445551e-06,9.6005515e-07,0.0074099763,0.00010387646,-1.8097166,0.0094931059,3.3591204e-08,6.1778617e-10,0.00028926458,2.0028836e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-20.txt,2025_09_09_16:33:54,3.5217,2532.6416,7.1915312e+08,5526.232,0.12077322,0.0032203859,1.0679163e-05,8.1481862e-08,2.5854237e-06,1.2520711e-06,0.0077022029,0.00014069002,-2.0415055,0.012393216,3.2332288e-08,7.7074075e-10,8.1903857e-05,2.6555212e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-21.txt,2025_09_09_16:34:54,3.5217,2533.3373,7.1935069e+08,5588.8268,0.12287182,0.0022813117,1.0614186e-05,5.7546097e-08,3.10577e-06,8.607978e-07,0.0082138345,9.9960886e-05,-1.9305153,0.008227122,3.346688e-08,5.3381845e-10,0.00028808841,1.9409644e-05
