Study Name	Tungsten_Calibration
Sample Name	09-03-2025
Run Name	spot01
Operator	Alicia
Date	9/3/2025
Time	11:53
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	11:53:45 AM
	
Time	Amplitude
0.000000E+0	4.285147E-5
5.000000E-11	4.970327E-5
1.000000E-10	7.197162E-5
1.500000E-10	1.130824E-4
2.000000E-10	1.627580E-4
2.500000E-10	2.004429E-4
3.000000E-10	2.312760E-4
3.500000E-10	2.501184E-4
4.000000E-10	2.586832E-4
4.500000E-10	2.621091E-4
5.000000E-10	2.569702E-4
5.500000E-10	2.484055E-4
6.000000E-10	2.364148E-4
6.500000E-10	2.278501E-4
7.000000E-10	2.364148E-4
7.500000E-10	2.655350E-4
8.000000E-10	2.929422E-4
8.500000E-10	3.134976E-4
9.000000E-10	3.546084E-4
9.500000E-10	4.197005E-4
1.000000E-9	4.642372E-4
1.050000E-9	4.865055E-4
1.100000E-9	5.087739E-4
1.150000E-9	5.207645E-4
1.200000E-9	5.070609E-4
1.250000E-9	4.865055E-4
1.300000E-9	4.796537E-4
1.350000E-9	4.710890E-4
1.400000E-9	4.402559E-4
1.450000E-9	3.854415E-4
1.500000E-9	3.357659E-4
1.550000E-9	3.083587E-4
1.600000E-9	2.843774E-4
1.650000E-9	2.569702E-4
1.700000E-9	2.398407E-4
1.750000E-9	2.518314E-4
1.800000E-9	2.638220E-4
1.850000E-9	2.689609E-4
1.900000E-9	2.912292E-4
1.950000E-9	3.169235E-4
2.000000E-9	3.100717E-4
2.050000E-9	2.740997E-4
2.100000E-9	2.312760E-4
2.150000E-9	1.713227E-4
2.200000E-9	8.224932E-5
2.250000E-9	-1.024998E-5
2.300000E-9	-8.219388E-5
2.350000E-9	-1.404342E-4
2.400000E-9	-1.935356E-4
2.450000E-9	-2.106651E-4
2.500000E-9	-1.901097E-4
2.550000E-9	-1.507119E-4
2.600000E-9	-1.096011E-4
2.650000E-9	-5.478668E-5
2.700000E-9	1.373132E-5
2.750000E-9	9.081407E-5
2.800000E-9	1.404896E-4
2.850000E-9	1.627580E-4
2.900000E-9	1.678968E-4
2.950000E-9	1.678968E-4
3.000000E-9	1.473414E-4
3.050000E-9	1.079436E-4
3.100000E-9	7.025867E-5
3.150000E-9	2.743492E-5
3.200000E-9	-8.537031E-6
3.250000E-9	-8.537031E-6
3.300000E-9	2.229607E-5
3.350000E-9	7.882342E-5
3.400000E-9	1.661839E-4
3.450000E-9	2.706738E-4
3.500000E-9	3.751638E-4
3.550000E-9	4.779408E-4
3.600000E-9	5.670142E-4
3.650000E-9	6.235415E-4
3.700000E-9	6.509487E-4
3.750000E-9	6.526617E-4
3.800000E-9	6.081250E-4
3.850000E-9	5.139127E-4
3.900000E-9	4.008580E-4
3.950000E-9	2.912292E-4
4.000000E-9	1.833134E-4
4.050000E-9	8.396227E-5
4.100000E-9	8.592469E-6
4.150000E-9	-3.080538E-5
4.200000E-9	-3.594423E-5
4.250000E-9	-1.881473E-5
4.300000E-9	1.544427E-5
4.350000E-9	6.169392E-5
4.400000E-9	1.028047E-4
4.450000E-9	1.267860E-4
4.500000E-9	1.456285E-4
4.550000E-9	1.541932E-4
4.600000E-9	1.404896E-4
