Study Name	V44_832864_470C
Sample Name	09-04-2025
Run Name	470C-baseline-hot
Operator	Alicia
Date	9/4/2025
Time	17:34
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	4
dt	50.000001E-12
time stamp (ms)	5:38:35 PM
	
Time	Amplitude
0.000000E+0	-1.137395E-3
5.000000E-11	-1.178506E-3
1.000000E-10	-1.291560E-3
1.500000E-10	-1.456003E-3
2.000000E-10	-1.603316E-3
2.500000E-10	-1.726648E-3
3.000000E-10	-1.832851E-3
3.500000E-10	-1.867110E-3
4.000000E-10	-1.836277E-3
4.500000E-10	-1.795166E-3
5.000000E-10	-1.716371E-3
5.500000E-10	-1.562206E-3
6.000000E-10	-1.387485E-3
6.500000E-10	-1.271005E-3
7.000000E-10	-1.168228E-3
7.500000E-10	-1.055174E-3
8.000000E-10	-9.695267E-4
8.500000E-10	-9.695267E-4
9.000000E-10	-1.014063E-3
9.500000E-10	-1.065452E-3
1.000000E-9	-1.133969E-3
1.050000E-9	-1.243598E-3
1.100000E-9	-1.370356E-3
1.150000E-9	-1.462855E-3
1.200000E-9	-1.503966E-3
1.250000E-9	-1.507391E-3
1.300000E-9	-1.466281E-3
1.350000E-9	-1.387485E-3
1.400000E-9	-1.271005E-3
1.450000E-9	-1.133969E-3
1.500000E-9	-9.798044E-4
1.550000E-9	-8.393429E-4
1.600000E-9	-7.331403E-4
1.650000E-9	-6.474930E-4
1.700000E-9	-5.858270E-4
1.750000E-9	-5.652717E-4
1.800000E-9	-5.961047E-4
1.850000E-9	-6.646225E-4
1.900000E-9	-7.639733E-4
1.950000E-9	-8.975830E-4
2.000000E-9	-1.031193E-3
2.050000E-9	-1.164802E-3
2.100000E-9	-1.301838E-3
2.150000E-9	-1.414892E-3
2.200000E-9	-1.486836E-3
2.250000E-9	-1.562206E-3
2.300000E-9	-1.623872E-3
2.350000E-9	-1.647853E-3
2.400000E-9	-1.654705E-3
2.450000E-9	-1.661556E-3
2.500000E-9	-1.637575E-3
2.550000E-9	-1.589613E-3
2.600000E-9	-1.545076E-3
2.650000E-9	-1.473133E-3
2.700000E-9	-1.377208E-3
2.750000E-9	-1.308690E-3
2.800000E-9	-1.257301E-3
2.850000E-9	-1.195635E-3
2.900000E-9	-1.151099E-3
2.950000E-9	-1.120266E-3
3.000000E-9	-1.099711E-3
3.050000E-9	-1.106562E-3
3.100000E-9	-1.127118E-3
3.150000E-9	-1.130544E-3
3.200000E-9	-1.133969E-3
3.250000E-9	-1.154525E-3
3.300000E-9	-1.175080E-3
3.350000E-9	-1.168228E-3
3.400000E-9	-1.137395E-3
3.450000E-9	-1.096285E-3
3.500000E-9	-1.031193E-3
3.550000E-9	-9.352678E-4
3.600000E-9	-8.222134E-4
3.650000E-9	-7.262885E-4
3.700000E-9	-6.680484E-4
3.750000E-9	-6.337895E-4
3.800000E-9	-6.166600E-4
3.850000E-9	-6.406412E-4
3.900000E-9	-6.817519E-4
3.950000E-9	-7.125849E-4
4.000000E-9	-7.399921E-4
4.050000E-9	-7.811027E-4
4.100000E-9	-8.222134E-4
4.150000E-9	-8.427688E-4
4.200000E-9	-8.564723E-4
4.250000E-9	-8.770277E-4
4.300000E-9	-9.318419E-4
4.350000E-9	-9.935079E-4
4.400000E-9	-1.041470E-3
4.450000E-9	-1.092859E-3
4.500000E-9	-1.171654E-3
4.550000E-9	-1.250450E-3
4.600000E-9	-1.294986E-3
4.650000E-9	-1.312116E-3
4.700000E-9	-1.291560E-3
4.750000E-9	-1.229894E-3
4.800000E-9	-1.140821E-3
4.850000E-9	-1.058600E-3
4.900000E-9	-9.832303E-4
4.950000E-9	-9.181383E-4
5.000000E-9	-8.873053E-4
5.050000E-9	-8.941571E-4
5.100000E-9	-9.249901E-4
5.150000E-9	-9.969338E-4
5.200000E-9	-1.123692E-3
5.250000E-9	-1.267579E-3
5.300000E-9	-1.404615E-3
5.350000E-9	-1.541650E-3
5.400000E-9	-1.671834E-3
5.450000E-9	-1.784889E-3
5.500000E-9	-1.877388E-3
5.550000E-9	-1.942479E-3
5.600000E-9	-1.945905E-3
5.650000E-9	-1.918498E-3
5.700000E-9	-1.891091E-3
5.750000E-9	-1.846555E-3
5.800000E-9	-1.757481E-3
5.850000E-9	-1.682112E-3
5.900000E-9	-1.613594E-3
5.950000E-9	-1.500540E-3
6.000000E-9	-1.377208E-3
6.050000E-9	-1.301838E-3
6.100000E-9	-1.240172E-3
6.150000E-9	-1.168228E-3
6.200000E-9	-1.120266E-3
6.250000E-9	-1.116840E-3
6.300000E-9	-1.144247E-3
6.350000E-9	-1.188784E-3
6.400000E-9	-1.274431E-3
6.450000E-9	-1.384059E-3
6.500000E-9	-1.490262E-3
6.550000E-9	-1.579335E-3
6.600000E-9	-1.654705E-3
6.650000E-9	-1.712945E-3
6.700000E-9	-1.726648E-3
6.750000E-9	-1.702667E-3
6.800000E-9	-1.647853E-3
6.850000E-9	-1.572483E-3
6.900000E-9	-1.476558E-3
6.950000E-9	-1.373782E-3
7.000000E-9	-1.298412E-3
7.050000E-9	-1.236746E-3
7.100000E-9	-1.181932E-3
7.150000E-9	-1.154525E-3
7.200000E-9	-1.171654E-3
7.250000E-9	-1.199061E-3
7.300000E-9	-1.216191E-3
7.350000E-9	-1.253876E-3
7.400000E-9	-1.332671E-3
7.450000E-9	-1.373782E-3
7.500000E-9	-1.356652E-3
7.550000E-9	-1.332671E-3
7.600000E-9	-1.353226E-3
7.650000E-9	-1.349800E-3
7.700000E-9	-1.267579E-3
7.750000E-9	-1.178506E-3
7.800000E-9	-1.116840E-3
7.850000E-9	-1.031193E-3
7.900000E-9	-9.352678E-4
7.950000E-9	-9.044348E-4
8.000000E-9	-9.147125E-4
8.050000E-9	-9.215642E-4
8.100000E-9	-9.763785E-4
8.150000E-9	-1.096285E-3
8.200000E-9	-1.205913E-3
8.250000E-9	-1.284709E-3
8.300000E-9	-1.394337E-3
8.350000E-9	-1.462855E-3
8.400000E-9	-1.452577E-3
8.450000E-9	-1.421744E-3
8.500000E-9	-1.339523E-3
8.550000E-9	-1.109988E-3
8.600000E-9	-8.461947E-4
8.650000E-9	-6.886037E-4
8.700000E-9	-5.858270E-4
8.750000E-9	-4.693467E-4
8.800000E-9	-3.974031E-4
8.850000E-9	-4.008289E-4
8.900000E-9	-4.522173E-4
8.950000E-9	-5.995306E-4
9.000000E-9	-8.256393E-4
9.050000E-9	-1.034619E-3
9.100000E-9	-1.240172E-3
9.150000E-9	-1.473133E-3
9.200000E-9	-1.637575E-3
9.250000E-9	-1.682112E-3
9.300000E-9	-1.678686E-3
9.350000E-9	-1.651279E-3
9.400000E-9	-1.586187E-3
9.450000E-9	-1.524521E-3
9.500000E-9	-1.438874E-3
9.550000E-9	-1.284709E-3
9.600000E-9	-1.164802E-3
9.650000E-9	-1.175080E-3
9.700000E-9	-1.219617E-3
9.750000E-9	-1.226468E-3
9.800000E-9	-1.250450E-3
9.850000E-9	-1.288134E-3
9.900000E-9	-1.294986E-3
9.950000E-9	-1.298412E-3
1.000000E-8	-1.294986E-3
1.005000E-8	-1.233320E-3
1.010000E-8	-1.181932E-3
1.015000E-8	-1.209339E-3
1.020000E-8	-1.205913E-3
1.025000E-8	-1.127118E-3
1.030000E-8	-1.103136E-3
1.035000E-8	-1.157951E-3
1.040000E-8	-1.140821E-3
1.045000E-8	-1.068878E-3
1.050000E-8	-1.065452E-3
1.055000E-8	-1.096285E-3
1.060000E-8	-1.044896E-3
1.065000E-8	-9.455455E-4
1.070000E-8	-8.975830E-4
1.075000E-8	-9.078607E-4
1.080000E-8	-9.352678E-4
1.085000E-8	-9.969338E-4
1.090000E-8	-1.096285E-3
1.095000E-8	-1.199061E-3
1.100000E-8	-1.281283E-3
1.105000E-8	-1.377208E-3
1.110000E-8	-1.456003E-3
1.115000E-8	-1.449151E-3
1.120000E-8	-1.387485E-3
1.125000E-8	-1.322393E-3
1.130000E-8	-1.233320E-3
1.135000E-8	-1.082581E-3
1.140000E-8	-9.558231E-4
1.145000E-8	-9.147125E-4
1.150000E-8	-9.421196E-4
1.155000E-8	-1.034619E-3
1.160000E-8	-1.229894E-3
1.165000E-8	-1.548502E-3
1.170000E-8	-1.990442E-3
1.175000E-8	-2.531733E-3
1.180000E-8	-3.107282E-3
1.185000E-8	-3.669128E-3
1.190000E-8	-4.159030E-3
1.195000E-8	-4.433102E-3
1.200000E-8	-4.302918E-3
1.205000E-8	-3.631443E-3
1.210000E-8	-2.237106E-3
1.215000E-8	4.111088E-5
1.220000E-8	3.347095E-3
1.225000E-8	7.797326E-3
1.230000E-8	1.343292E-2
1.235000E-8	2.019220E-2
1.240000E-8	2.794841E-2
1.245000E-8	3.656453E-2
1.250000E-8	4.575961E-2
1.255000E-8	5.516026E-2
1.260000E-8	6.447525E-2
1.265000E-8	7.344081E-2
1.270000E-8	8.167322E-2
1.275000E-8	8.880250E-2
1.280000E-8	9.466762E-2
1.285000E-8	9.920350E-2
1.290000E-8	1.022834E-1
1.295000E-8	1.038867E-1
1.300000E-8	1.041471E-1
1.305000E-8	1.031673E-1
1.310000E-8	1.010706E-1
1.315000E-8	9.817573E-2
1.320000E-8	9.474984E-2
1.325000E-8	9.094025E-2
1.330000E-8	8.696622E-2
1.335000E-8	8.312237E-2
1.340000E-8	7.954574E-2
1.345000E-8	7.634254E-2
1.350000E-8	7.374571E-2
1.355000E-8	7.182036E-2
1.360000E-8	7.051510E-2
1.365000E-8	6.993612E-2
1.370000E-8	7.026843E-2
1.375000E-8	7.142981E-2
1.380000E-8	7.326951E-2
1.385000E-8	7.569847E-2
1.390000E-8	7.858307E-2
1.395000E-8	8.179998E-2
1.400000E-8	8.528068E-2
1.405000E-8	8.879222E-2
1.410000E-8	9.203996E-2
1.415000E-8	9.490743E-2
1.420000E-8	9.731583E-2
1.425000E-8	9.902878E-2
1.430000E-8	9.991608E-2
1.435000E-8	9.999831E-2
1.440000E-8	9.927202E-2
1.445000E-8	9.774064E-2
1.450000E-8	9.545215E-2
1.455000E-8	9.247163E-2
1.460000E-8	8.894981E-2
1.465000E-8	8.516763E-2
1.470000E-8	8.135461E-2
1.475000E-8	7.762724E-2
1.480000E-8	7.409515E-2
1.485000E-8	7.094333E-2
1.490000E-8	6.835679E-2
1.495000E-8	6.648968E-2
1.500000E-8	6.538654E-2
1.505000E-8	6.505423E-2
1.510000E-8	6.552357E-2
1.515000E-8	6.681171E-2
1.520000E-8	6.880558E-2
1.525000E-8	7.129620E-2
1.530000E-8	7.416024E-2
1.535000E-8	7.729493E-2
1.540000E-8	8.049814E-2
1.545000E-8	8.355061E-2
1.550000E-8	8.632900E-2
1.555000E-8	8.875111E-2
1.560000E-8	9.068331E-2
1.565000E-8	9.196117E-2
1.570000E-8	9.248190E-2
1.575000E-8	9.229005E-2
1.580000E-8	9.145756E-2
1.585000E-8	8.996730E-2
1.590000E-8	8.778158E-2
1.595000E-8	8.504430E-2
1.600000E-8	8.194387E-2
1.605000E-8	7.858992E-2
1.610000E-8	7.506810E-2
1.615000E-8	7.157712E-2
1.620000E-8	6.829512E-2
1.625000E-8	6.535913E-2
1.630000E-8	6.291647E-2
1.635000E-8	6.110418E-2
1.640000E-8	5.999419E-2
1.645000E-8	5.966530E-2
1.650000E-8	6.013808E-2
1.655000E-8	6.136797E-2
1.660000E-8	6.326249E-2
1.665000E-8	6.571885E-2
1.670000E-8	6.859317E-2
1.675000E-8	7.172786E-2
1.680000E-8	7.497561E-2
1.685000E-8	7.809317E-2
1.690000E-8	8.085786E-2
1.695000E-8	8.319089E-2
1.700000E-8	8.501346E-2
1.705000E-8	8.617827E-2
1.710000E-8	8.657909E-2
1.715000E-8	8.623993E-2
1.720000E-8	8.520189E-2
1.725000E-8	8.348209E-2
1.730000E-8	8.113536E-2
1.735000E-8	7.830214E-2
1.740000E-8	7.515375E-2
1.745000E-8	7.181693E-2
1.750000E-8	6.841160E-2
1.755000E-8	6.511932E-2
1.760000E-8	6.213537E-2
1.765000E-8	5.951799E-2
1.770000E-8	5.733912E-2
1.775000E-8	5.575636E-2
1.780000E-8	5.489646E-2
1.785000E-8	5.476628E-2
1.790000E-8	5.534868E-2
1.795000E-8	5.661283E-2
1.800000E-8	5.847994E-2
1.805000E-8	6.085409E-2
1.810000E-8	6.363933E-2
1.815000E-8	6.665069E-2
1.820000E-8	6.971001E-2
1.825000E-8	7.265285E-2
1.830000E-8	7.528394E-2
1.835000E-8	7.742854E-2
1.840000E-8	7.901473E-2
1.845000E-8	7.996370E-2
1.850000E-8	8.016925E-2
1.855000E-8	7.962454E-2
1.860000E-8	7.841177E-2
1.865000E-8	7.658577E-2
1.870000E-8	7.419450E-2
1.875000E-8	7.136472E-2
1.880000E-8	6.826771E-2
1.885000E-8	6.505080E-2
1.890000E-8	6.183046E-2
1.895000E-8	5.874374E-2
1.900000E-8	5.597219E-2
1.905000E-8	5.364259E-2
1.910000E-8	5.183029E-2
1.915000E-8	5.063466E-2
1.920000E-8	5.014818E-2
1.925000E-8	5.036744E-2
1.930000E-8	5.127187E-2
1.935000E-8	5.284093E-2
1.940000E-8	5.499581E-2
1.945000E-8	5.759606E-2
1.950000E-8	6.052177E-2
1.955000E-8	6.364276E-2
1.960000E-8	6.678773E-2
1.965000E-8	6.977853E-2
1.970000E-8	7.245072E-2
1.975000E-8	7.467413E-2
1.980000E-8	7.633911E-2
1.985000E-8	7.735660E-2
1.990000E-8	7.762039E-2
1.995000E-8	7.712706E-2
2.000000E-8	7.593828E-2
2.005000E-8	7.410885E-2
2.010000E-8	7.169360E-2
2.015000E-8	6.881928E-2
2.020000E-8	6.562978E-2
2.025000E-8	6.230324E-2
2.030000E-8	5.899383E-2
2.035000E-8	5.584543E-2
2.040000E-8	5.300537E-2
2.045000E-8	5.062780E-2
2.050000E-8	4.881893E-2
2.055000E-8	4.766098E-2
2.060000E-8	4.721219E-2
2.065000E-8	4.748969E-2
2.070000E-8	4.847977E-2
2.075000E-8	5.011049E-2
2.080000E-8	5.229279E-2
2.085000E-8	5.491359E-2
2.090000E-8	5.781532E-2
2.095000E-8	6.083696E-2
2.100000E-8	6.384146E-2
2.105000E-8	6.669180E-2
2.110000E-8	6.922011E-2
2.115000E-8	7.127907E-2
2.120000E-8	7.276933E-2
2.125000E-8	7.358127E-2
2.130000E-8	7.366349E-2
2.135000E-8	7.303998E-2
2.140000E-8	7.175527E-2
2.145000E-8	6.982992E-2
2.150000E-8	6.737698E-2
2.155000E-8	6.453692E-2
2.160000E-8	6.142278E-2
2.165000E-8	5.817504E-2
2.170000E-8	5.494443E-2
2.175000E-8	5.189196E-2
2.180000E-8	4.920606E-2
2.185000E-8	4.702719E-2
2.190000E-8	4.540675E-2
2.195000E-8	4.442009E-2
2.200000E-8	4.421111E-2
2.205000E-8	4.474555E-2
2.210000E-8	4.593091E-2
2.215000E-8	4.771922E-2
2.220000E-8	5.003513E-2
2.225000E-8	5.270732E-2
2.230000E-8	5.557822E-2
2.235000E-8	5.848680E-2
2.240000E-8	6.127204E-2
2.245000E-8	6.378665E-2
2.250000E-8	6.589700E-2
2.255000E-8	6.746605E-2
2.260000E-8	6.841845E-2
2.265000E-8	6.874049E-2
2.270000E-8	6.841845E-2
2.275000E-8	6.744550E-2
2.280000E-8	6.587987E-2
2.285000E-8	6.381063E-2
2.290000E-8	6.134056E-2
2.295000E-8	5.856217E-2
2.300000E-8	5.559877E-2
2.305000E-8	5.259084E-2
2.310000E-8	4.968568E-2
2.315000E-8	4.699636E-2
2.320000E-8	4.465990E-2
2.325000E-8	4.281335E-2
2.330000E-8	4.152179E-2
2.335000E-8	4.083318E-2
2.340000E-8	4.081605E-2
2.345000E-8	4.146012E-2
2.350000E-8	4.270715E-2
2.355000E-8	4.450231E-2
2.360000E-8	4.678738E-2
2.365000E-8	4.940134E-2
2.370000E-8	5.217973E-2
2.375000E-8	5.498896E-2
2.380000E-8	5.767829E-2
2.385000E-8	6.009354E-2
2.390000E-8	6.209083E-2
2.395000E-8	6.356054E-2
2.400000E-8	6.443414E-2
2.405000E-8	6.465682E-2
2.410000E-8	6.420803E-2
2.415000E-8	6.311175E-2
2.420000E-8	6.144677E-2
2.425000E-8	5.926447E-2
2.430000E-8	5.665737E-2
2.435000E-8	5.378647E-2
2.440000E-8	5.077854E-2
2.445000E-8	4.775348E-2
2.450000E-8	4.486888E-2
2.455000E-8	4.228576E-2
2.460000E-8	4.012060E-2
2.465000E-8	3.849673E-2
2.470000E-8	3.747924E-2
2.475000E-8	3.711609E-2
2.480000E-8	3.742785E-2
2.485000E-8	3.841793E-2
2.490000E-8	4.001097E-2
2.495000E-8	4.212474E-2
2.500000E-8	4.463935E-2
2.505000E-8	4.740747E-2
2.510000E-8	5.027494E-2
2.515000E-8	5.307732E-2
2.520000E-8	5.567071E-2
2.525000E-8	5.788384E-2
2.530000E-8	5.958308E-2
2.535000E-8	6.068279E-2
2.540000E-8	6.115556E-2
2.545000E-8	6.096371E-2
2.550000E-8	6.010382E-2
2.555000E-8	5.865124E-2
2.560000E-8	5.669163E-2
2.565000E-8	5.430721E-2
2.570000E-8	5.162131E-2
2.575000E-8	4.877440E-2
2.580000E-8	4.590008E-2
2.585000E-8	4.314566E-2
2.590000E-8	4.064476E-2
2.595000E-8	3.847960E-2
2.600000E-8	3.672554E-2
2.605000E-8	3.550935E-2
2.610000E-8	3.488241E-2
2.615000E-8	3.483445E-2
2.620000E-8	3.539972E-2
2.625000E-8	3.657480E-2
2.630000E-8	3.826034E-2
2.635000E-8	4.036041E-2
2.640000E-8	4.278594E-2
2.645000E-8	4.540675E-2
2.650000E-8	4.806181E-2
2.655000E-8	5.062438E-2
2.660000E-8	5.295741E-2
2.665000E-8	5.489989E-2
2.670000E-8	5.634561E-2
2.675000E-8	5.723635E-2
2.680000E-8	5.750357E-2
2.685000E-8	5.711987E-2
2.690000E-8	5.613321E-2
2.695000E-8	5.462924E-2
2.700000E-8	5.265593E-2
2.705000E-8	5.029892E-2
2.710000E-8	4.770552E-2
2.715000E-8	4.501620E-2
2.720000E-8	4.232345E-2
2.725000E-8	3.973347E-2
2.730000E-8	3.740044E-2
2.735000E-8	3.545796E-2
2.740000E-8	3.396427E-2
2.745000E-8	3.297762E-2
2.750000E-8	3.256309E-2
2.755000E-8	3.276179E-2
2.760000E-8	3.353604E-2
2.765000E-8	3.485501E-2
2.770000E-8	3.663989E-2
2.775000E-8	3.877422E-2
2.780000E-8	4.115179E-2
2.785000E-8	4.366297E-2
2.790000E-8	4.612618E-2
2.795000E-8	4.841468E-2
2.800000E-8	5.043938E-2
2.805000E-8	5.208038E-2
2.810000E-8	5.322120E-2
2.815000E-8	5.381388E-2
2.820000E-8	5.385499E-2
2.825000E-8	5.332398E-2
2.830000E-8	5.224482E-2
2.835000E-8	5.066549E-2
2.840000E-8	4.865792E-2
2.845000E-8	4.633174E-2
2.850000E-8	4.381713E-2
2.855000E-8	4.121688E-2
2.860000E-8	3.865774E-2
2.865000E-8	3.627675E-2
2.870000E-8	3.417668E-2
2.875000E-8	3.246373E-2
2.880000E-8	3.123384E-2
2.885000E-8	3.052811E-2
2.890000E-8	3.036366E-2
2.895000E-8	3.078505E-2
2.900000E-8	3.177170E-2
2.905000E-8	3.321743E-2
2.910000E-8	3.503658E-2
2.915000E-8	3.716748E-2
2.920000E-8	3.950051E-2
2.925000E-8	4.188836E-2
2.930000E-8	4.420426E-2
2.935000E-8	4.633516E-2
2.940000E-8	4.815431E-2
2.945000E-8	4.956578E-2
2.950000E-8	5.049762E-2
2.955000E-8	5.088817E-2
2.960000E-8	5.072373E-2
2.965000E-8	5.001457E-2
2.970000E-8	4.878810E-2
2.975000E-8	4.710599E-2
2.980000E-8	4.506758E-2
2.985000E-8	4.275168E-2
2.990000E-8	4.027476E-2
2.995000E-8	3.777729E-2
3.000000E-8	3.537232E-2
3.005000E-8	3.315234E-2
3.010000E-8	3.123727E-2
3.015000E-8	2.975043E-2
3.020000E-8	2.872609E-2
3.025000E-8	2.818137E-2
3.030000E-8	2.817452E-2
3.035000E-8	2.870553E-2
3.040000E-8	2.972302E-2
3.045000E-8	3.116875E-2
3.050000E-8	3.299132E-2
3.055000E-8	3.507426E-2
3.060000E-8	3.730794E-2
3.065000E-8	3.959986E-2
3.070000E-8	4.181299E-2
3.075000E-8	4.378973E-2
3.080000E-8	4.545471E-2
3.085000E-8	4.673257E-2
3.090000E-8	4.753080E-2
3.095000E-8	4.779117E-2
3.100000E-8	4.749311E-2
3.105000E-8	4.665035E-2
3.110000E-8	4.533480E-2
3.115000E-8	4.361501E-2
3.120000E-8	4.155947E-2
3.125000E-8	3.927440E-2
3.130000E-8	3.690026E-2
3.135000E-8	3.454325E-2
3.140000E-8	3.231642E-2
3.145000E-8	3.036024E-2
3.150000E-8	2.874664E-2
3.155000E-8	2.752703E-2
3.160000E-8	2.677333E-2
3.165000E-8	2.653009E-2
3.170000E-8	2.678703E-2
3.175000E-8	2.753045E-2
3.180000E-8	2.873294E-2
3.185000E-8	3.029515E-2
3.190000E-8	3.216568E-2
3.195000E-8	3.427603E-2
3.200000E-8	3.647888E-2
3.205000E-8	3.862006E-2
3.210000E-8	4.062421E-2
3.215000E-8	4.239196E-2
3.220000E-8	4.377602E-2
3.225000E-8	4.469416E-2
3.230000E-8	4.511212E-2
3.235000E-8	4.499221E-2
3.240000E-8	4.431389E-2
3.245000E-8	4.315936E-2
3.250000E-8	4.158688E-2
3.255000E-8	3.965810E-2
3.260000E-8	3.749637E-2
3.265000E-8	3.524898E-2
3.270000E-8	3.303928E-2
3.275000E-8	3.095292E-2
3.280000E-8	2.908238E-2
3.285000E-8	2.753045E-2
