Study Name	V44_832864_470C
Sample Name	09-04-2025
Run Name	470C-baseline-hot
Operator	Alicia
Date	9/4/2025
Time	17:34
Sign	NEG
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	5:35:26 PM
	
Time	Amplitude
0.000000E+0	-2.638103E-4
5.000000E-11	-2.826528E-4
1.000000E-10	-3.203377E-4
1.500000E-10	-3.614485E-4
2.000000E-10	-3.939945E-4
2.500000E-10	-4.282535E-4
3.000000E-10	-4.556607E-4
3.500000E-10	-4.488089E-4
4.000000E-10	-4.076981E-4
4.500000E-10	-3.631614E-4
5.000000E-10	-3.203377E-4
5.500000E-10	-2.740880E-4
6.000000E-10	-2.209866E-4
6.500000E-10	-1.815887E-4
7.000000E-10	-1.661722E-4
7.500000E-10	-1.576074E-4
8.000000E-10	-1.456168E-4
8.500000E-10	-1.456168E-4
9.000000E-10	-1.730240E-4
9.500000E-10	-2.072830E-4
1.000000E-9	-2.278384E-4
1.050000E-9	-2.415420E-4
1.100000E-9	-2.603844E-4
1.150000E-9	-2.723751E-4
1.200000E-9	-2.809398E-4
1.250000E-9	-2.877916E-4
1.300000E-9	-3.014952E-4
1.350000E-9	-3.220506E-4
1.400000E-9	-3.408931E-4
1.450000E-9	-3.614485E-4
1.500000E-9	-3.888557E-4
1.550000E-9	-4.145499E-4
1.600000E-9	-4.333924E-4
1.650000E-9	-4.727902E-4
1.700000E-9	-5.258917E-4
1.750000E-9	-5.515859E-4
1.800000E-9	-5.395953E-4
1.850000E-9	-5.121881E-4
1.900000E-9	-4.607996E-4
1.950000E-9	-3.871427E-4
2.000000E-9	-3.186247E-4
2.050000E-9	-2.620974E-4
2.100000E-9	-1.987182E-4
2.150000E-9	-1.490427E-4
2.200000E-9	-1.439038E-4
2.250000E-9	-1.661722E-4
2.300000E-9	-2.004312E-4
2.350000E-9	-2.483938E-4
2.400000E-9	-3.049211E-4
2.450000E-9	-3.477449E-4
2.500000E-9	-3.717262E-4
2.550000E-9	-3.905686E-4
2.600000E-9	-4.059852E-4
2.650000E-9	-4.128370E-4
2.700000E-9	-4.265406E-4
2.750000E-9	-4.573737E-4
2.800000E-9	-4.830679E-4
2.850000E-9	-5.121881E-4
2.900000E-9	-5.584377E-4
2.950000E-9	-6.269557E-4
3.000000E-9	-7.006126E-4
3.050000E-9	-7.622788E-4
3.100000E-9	-7.965378E-4
3.150000E-9	-7.862601E-4
3.200000E-9	-7.468622E-4
3.250000E-9	-6.903349E-4
3.300000E-9	-6.303816E-4
3.350000E-9	-5.721413E-4
3.400000E-9	-5.036233E-4
3.450000E-9	-4.145499E-4
3.500000E-9	-3.134859E-4
3.550000E-9	-2.295513E-4
3.600000E-9	-1.661722E-4
3.650000E-9	-1.216355E-4
3.700000E-9	-9.251533E-5
3.750000E-9	-7.881173E-5
3.800000E-9	-7.881173E-5
3.850000E-9	-9.251533E-5
3.900000E-9	-1.027930E-4
3.950000E-9	-1.045060E-4
4.000000E-9	-1.216355E-4
4.050000E-9	-1.678851E-4
4.100000E-9	-2.072830E-4
4.150000E-9	-2.364031E-4
4.200000E-9	-2.740880E-4
4.250000E-9	-3.032082E-4
4.300000E-9	-3.032082E-4
4.350000E-9	-2.912175E-4
4.400000E-9	-2.912175E-4
4.450000E-9	-2.895046E-4
4.500000E-9	-2.912175E-4
4.550000E-9	-3.169118E-4
4.600000E-9	-3.528837E-4
4.650000E-9	-3.871427E-4
4.700000E-9	-4.145499E-4
4.750000E-9	-4.316794E-4
4.800000E-9	-4.351053E-4
4.850000E-9	-4.248276E-4
4.900000E-9	-4.111240E-4
4.950000E-9	-3.922816E-4
5.000000E-9	-3.528837E-4
5.050000E-9	-2.963564E-4
5.100000E-9	-2.552456E-4
5.150000E-9	-2.483938E-4
5.200000E-9	-2.655233E-4
5.250000E-9	-3.014952E-4
5.300000E-9	-3.631614E-4
5.350000E-9	-4.368183E-4
5.400000E-9	-5.070492E-4
5.450000E-9	-5.841320E-4
5.500000E-9	-6.440852E-4
5.550000E-9	-6.595018E-4
5.600000E-9	-6.183910E-4
5.650000E-9	-5.361694E-4
5.700000E-9	-4.231147E-4
5.750000E-9	-3.014952E-4
5.800000E-9	-1.935794E-4
5.850000E-9	-9.765418E-5
5.900000E-9	-8.580776E-6
5.950000E-9	4.452068E-5
6.000000E-9	3.253002E-5
6.050000E-9	-3.770093E-5
6.100000E-9	-1.473297E-4
6.150000E-9	-2.843657E-4
6.200000E-9	-4.248276E-4
6.250000E-9	-5.344564E-4
6.300000E-9	-6.149651E-4
6.350000E-9	-6.646406E-4
6.400000E-9	-6.646406E-4
6.450000E-9	-5.995485E-4
6.500000E-9	-4.950586E-4
6.550000E-9	-3.768650E-4
6.600000E-9	-2.689492E-4
6.650000E-9	-1.747369E-4
6.700000E-9	-8.395058E-5
6.750000E-9	5.122824E-6
6.800000E-9	6.678903E-5
6.850000E-9	9.248328E-5
6.900000E-9	9.590918E-5
6.950000E-9	8.905738E-5
7.000000E-9	6.850198E-5
7.050000E-9	3.938182E-5
7.100000E-9	1.696924E-6
7.150000E-9	-4.969158E-5
7.200000E-9	-9.422828E-5
7.250000E-9	-1.267743E-4
7.300000E-9	-1.558945E-4
7.350000E-9	-1.730240E-4
7.400000E-9	-1.695981E-4
7.450000E-9	-1.730240E-4
7.500000E-9	-1.884405E-4
7.550000E-9	-1.764499E-4
7.600000E-9	-1.439038E-4
7.650000E-9	-1.473297E-4
7.700000E-9	-1.661722E-4
7.750000E-9	-1.627463E-4
7.800000E-9	-1.627463E-4
7.850000E-9	-2.021441E-4
7.900000E-9	-2.518197E-4
7.950000E-9	-2.929305E-4
8.000000E-9	-3.306154E-4
8.050000E-9	-3.614485E-4
8.100000E-9	-3.717262E-4
8.150000E-9	-3.802909E-4
8.200000E-9	-3.854298E-4
8.250000E-9	-3.545967E-4
8.300000E-9	-2.929305E-4
8.350000E-9	-2.209866E-4
8.400000E-9	-1.421909E-4
8.450000E-9	-9.080238E-5
8.500000E-9	-1.010801E-4
8.550000E-9	-1.147837E-4
8.600000E-9	-7.538583E-5
8.650000E-9	-3.427503E-5
8.700000E-9	-4.969158E-5
8.750000E-9	-1.045060E-4
8.800000E-9	-1.593204E-4
8.850000E-9	-2.072830E-4
8.900000E-9	-2.398290E-4
8.950000E-9	-2.689492E-4
9.000000E-9	-3.117729E-4
9.050000E-9	-3.494578E-4
9.100000E-9	-3.631614E-4
9.150000E-9	-3.837168E-4
9.200000E-9	-4.265406E-4
9.250000E-9	-4.522348E-4
9.300000E-9	-4.248276E-4
9.350000E-9	-3.683003E-4
9.400000E-9	-3.289024E-4
9.450000E-9	-3.374672E-4
9.500000E-9	-3.700132E-4
9.550000E-9	-3.683003E-4
9.600000E-9	-3.374672E-4
9.650000E-9	-3.563096E-4
9.700000E-9	-4.402442E-4
9.750000E-9	-5.224658E-4
9.800000E-9	-5.755672E-4
9.850000E-9	-6.286687E-4
9.900000E-9	-6.834831E-4
9.950000E-9	-7.091773E-4
1.000000E-8	-7.023255E-4
1.005000E-8	-6.492241E-4
1.010000E-8	-5.481600E-4
1.015000E-8	-4.385312E-4
1.020000E-8	-3.237636E-4
1.025000E-8	-1.833017E-4
1.030000E-8	-4.797863E-5
1.035000E-8	4.452068E-5
1.040000E-8	1.233164E-4
1.045000E-8	2.055380E-4
1.050000E-8	2.209545E-4
1.055000E-8	1.198905E-4
1.060000E-8	-3.770093E-5
1.065000E-8	-1.798758E-4
1.070000E-8	-3.032082E-4
1.075000E-8	-4.316794E-4
1.080000E-8	-5.498730E-4
1.085000E-8	-6.218169E-4
1.090000E-8	-6.440852E-4
1.095000E-8	-6.320946E-4
1.100000E-8	-5.961226E-4
1.105000E-8	-5.224658E-4
1.110000E-8	-4.351053E-4
1.115000E-8	-3.785780E-4
1.120000E-8	-3.357542E-4
1.125000E-8	-2.518197E-4
1.130000E-8	-1.507556E-4
1.135000E-8	-7.881173E-5
1.140000E-8	-1.602621E-8
1.145000E-8	1.164646E-4
1.150000E-8	2.654912E-4
1.155000E-8	4.710452E-4
1.160000E-8	7.999316E-4
1.165000E-8	1.245299E-3
1.170000E-8	1.745480E-3
1.175000E-8	2.255939E-3
1.180000E-8	2.749269E-3
1.185000E-8	3.163803E-3
1.190000E-8	3.383060E-3
1.195000E-8	3.247737E-3
1.200000E-8	2.586539E-3
1.205000E-8	1.274419E-3
1.210000E-8	-7.657047E-4
1.215000E-8	-3.583508E-3
1.220000E-8	-7.189267E-3
1.225000E-8	-1.147336E-2
1.230000E-8	-1.621823E-2
1.235000E-8	-2.114981E-2
1.240000E-8	-2.597690E-2
1.245000E-8	-3.036034E-2
1.250000E-8	-3.406374E-2
1.255000E-8	-3.699974E-2
1.260000E-8	-3.917347E-2
1.265000E-8	-4.062605E-2
1.270000E-8	-4.144484E-2
1.275000E-8	-4.177715E-2
1.280000E-8	-4.168294E-2
1.285000E-8	-4.113137E-2
1.290000E-8	-4.008990E-2
1.295000E-8	-3.859963E-2
1.300000E-8	-3.673594E-2
1.305000E-8	-3.457077E-2
1.310000E-8	-3.224801E-2
1.315000E-8	-2.996636E-2
1.320000E-8	-2.794337E-2
1.325000E-8	-2.637260E-2
1.330000E-8	-2.541163E-2
1.335000E-8	-2.508446E-2
1.340000E-8	-2.535510E-2
1.345000E-8	-2.615505E-2
1.350000E-8	-2.738666E-2
1.355000E-8	-2.889920E-2
1.360000E-8	-3.057960E-2
1.365000E-8	-3.234565E-2
1.370000E-8	-3.405518E-2
1.375000E-8	-3.562253E-2
1.380000E-8	-3.700488E-2
1.385000E-8	-3.820908E-2
1.390000E-8	-3.922829E-2
1.395000E-8	-4.005050E-2
1.400000E-8	-4.067402E-2
1.405000E-8	-4.105600E-2
1.410000E-8	-4.120160E-2
1.415000E-8	-4.111767E-2
1.420000E-8	-4.078536E-2
1.425000E-8	-4.017383E-2
1.430000E-8	-3.924028E-2
1.435000E-8	-3.798468E-2
1.440000E-8	-3.646358E-2
1.445000E-8	-3.467869E-2
1.450000E-8	-3.267283E-2
1.455000E-8	-3.061729E-2
1.460000E-8	-2.872961E-2
1.465000E-8	-2.715370E-2
1.470000E-8	-2.599917E-2
1.475000E-8	-2.538422E-2
1.480000E-8	-2.531913E-2
1.485000E-8	-2.573880E-2
1.490000E-8	-2.659014E-2
1.495000E-8	-2.779606E-2
1.500000E-8	-2.926919E-2
1.505000E-8	-3.091020E-2
1.510000E-8	-3.256320E-2
1.515000E-8	-3.421619E-2
1.520000E-8	-3.575956E-2
1.525000E-8	-3.713506E-2
1.530000E-8	-3.826903E-2
1.535000E-8	-3.916319E-2
1.540000E-8	-3.976786E-2
1.545000E-8	-4.009846E-2
1.550000E-8	-4.020295E-2
1.555000E-8	-4.004194E-2
1.560000E-8	-3.953662E-2
1.565000E-8	-3.873153E-2
1.570000E-8	-3.766607E-2
1.575000E-8	-3.633511E-2
1.580000E-8	-3.477290E-2
1.585000E-8	-3.301199E-2
1.590000E-8	-3.110548E-2
1.595000E-8	-2.916984E-2
1.600000E-8	-2.737810E-2
1.605000E-8	-2.590325E-2
1.610000E-8	-2.480867E-2
1.615000E-8	-2.415432E-2
1.620000E-8	-2.396419E-2
1.625000E-8	-2.426567E-2
1.630000E-8	-2.502964E-2
1.635000E-8	-2.623556E-2
1.640000E-8	-2.776008E-2
1.645000E-8	-2.946618E-2
1.650000E-8	-3.126821E-2
1.655000E-8	-3.305139E-2
1.660000E-8	-3.464786E-2
1.665000E-8	-3.605933E-2
1.670000E-8	-3.720700E-2
1.675000E-8	-3.801552E-2
1.680000E-8	-3.846260E-2
1.685000E-8	-3.867329E-2
1.690000E-8	-3.868014E-2
1.695000E-8	-3.839922E-2
1.700000E-8	-3.777742E-2
1.705000E-8	-3.686099E-2
1.710000E-8	-3.561567E-2
1.715000E-8	-3.405860E-2
1.720000E-8	-3.227200E-2
1.725000E-8	-3.035178E-2
1.730000E-8	-2.838531E-2
1.735000E-8	-2.647023E-2
1.740000E-8	-2.473330E-2
1.745000E-8	-2.331841E-2
1.750000E-8	-2.231976E-2
1.755000E-8	-2.176476E-2
1.760000E-8	-2.169624E-2
1.765000E-8	-2.216902E-2
1.770000E-8	-2.312313E-2
1.775000E-8	-2.444210E-2
1.780000E-8	-2.604542E-2
1.785000E-8	-2.788684E-2
1.790000E-8	-2.977965E-2
1.795000E-8	-3.157654E-2
1.800000E-8	-3.322097E-2
1.805000E-8	-3.465642E-2
1.810000E-8	-3.581951E-2
1.815000E-8	-3.667599E-2
1.820000E-8	-3.724298E-2
1.825000E-8	-3.751876E-2
1.830000E-8	-3.745881E-2
1.835000E-8	-3.705798E-2
1.840000E-8	-3.630257E-2
1.845000E-8	-3.521313E-2
1.850000E-8	-3.383249E-2
1.855000E-8	-3.216408E-2
1.860000E-8	-3.024558E-2
1.865000E-8	-2.820545E-2
1.870000E-8	-2.619616E-2
1.875000E-8	-2.432562E-2
1.880000E-8	-2.265207E-2
1.885000E-8	-2.128856E-2
1.890000E-8	-2.038583E-2
1.895000E-8	-1.999186E-2
1.900000E-8	-2.007408E-2
1.905000E-8	-2.063764E-2
1.910000E-8	-2.166883E-2
1.915000E-8	-2.306146E-2
1.920000E-8	-2.473501E-2
1.925000E-8	-2.660384E-2
1.930000E-8	-2.851378E-2
1.935000E-8	-3.031581E-2
1.940000E-8	-3.194311E-2
1.945000E-8	-3.332203E-2
1.950000E-8	-3.442689E-2
1.955000E-8	-3.527822E-2
1.960000E-8	-3.583664E-2
1.965000E-8	-3.603535E-2
1.970000E-8	-3.592743E-2
1.975000E-8	-3.552489E-2
1.980000E-8	-3.475406E-2
1.985000E-8	-3.360981E-2
1.990000E-8	-3.213667E-2
1.995000E-8	-3.041687E-2
2.000000E-8	-2.852749E-2
2.005000E-8	-2.654732E-2
2.010000E-8	-2.455858E-2
2.015000E-8	-2.270174E-2
2.020000E-8	-2.113953E-2
2.025000E-8	-1.994903E-2
2.030000E-8	-1.915936E-2
2.035000E-8	-1.884418E-2
2.040000E-8	-1.909427E-2
2.045000E-8	-1.988223E-2
2.050000E-8	-2.109328E-2
2.055000E-8	-2.259725E-2
2.060000E-8	-2.432905E-2
2.065000E-8	-2.616533E-2
2.070000E-8	-2.798106E-2
2.075000E-8	-2.968715E-2
2.080000E-8	-3.124422E-2
2.085000E-8	-3.257005E-2
2.090000E-8	-3.361666E-2
2.095000E-8	-3.439434E-2
2.100000E-8	-3.488424E-2
2.105000E-8	-3.506068E-2
2.110000E-8	-3.490480E-2
2.115000E-8	-3.440804E-2
2.120000E-8	-3.357898E-2
2.125000E-8	-3.238162E-2
2.130000E-8	-3.084168E-2
2.135000E-8	-2.905679E-2
2.140000E-8	-2.709546E-2
2.145000E-8	-2.504163E-2
2.150000E-8	-2.300494E-2
2.155000E-8	-2.112240E-2
2.160000E-8	-1.954306E-2
2.165000E-8	-1.836113E-2
2.170000E-8	-1.766738E-2
2.175000E-8	-1.751493E-2
2.180000E-8	-1.788835E-2
2.185000E-8	-1.873969E-2
2.190000E-8	-2.002098E-2
2.195000E-8	-2.163115E-2
2.200000E-8	-2.342632E-2
2.205000E-8	-2.531228E-2
2.210000E-8	-2.719824E-2
2.215000E-8	-2.895058E-2
2.220000E-8	-3.047682E-2
2.225000E-8	-3.173927E-2
2.230000E-8	-3.270880E-2
2.235000E-8	-3.335115E-2
2.240000E-8	-3.364578E-2
2.245000E-8	-3.361837E-2
2.250000E-8	-3.321069E-2
2.255000E-8	-3.245014E-2
2.260000E-8	-3.136413E-2
2.265000E-8	-2.999035E-2
2.270000E-8	-2.838531E-2
2.275000E-8	-2.660898E-2
2.280000E-8	-2.467849E-2
2.285000E-8	-2.267091E-2
2.290000E-8	-2.075412E-2
2.295000E-8	-1.908742E-2
2.300000E-8	-1.773076E-2
2.305000E-8	-1.676466E-2
2.310000E-8	-1.625762E-2
2.315000E-8	-1.622850E-2
2.320000E-8	-1.666017E-2
2.325000E-8	-1.754405E-2
2.330000E-8	-1.882705E-2
2.335000E-8	-2.042866E-2
2.340000E-8	-2.221869E-2
2.345000E-8	-2.409951E-2
2.350000E-8	-2.594607E-2
2.355000E-8	-2.764874E-2
2.360000E-8	-2.915271E-2
2.365000E-8	-3.039631E-2
2.370000E-8	-3.135043E-2
2.375000E-8	-3.198936E-2
2.380000E-8	-3.227885E-2
2.385000E-8	-3.220519E-2
2.390000E-8	-3.175640E-2
2.395000E-8	-3.097187E-2
2.400000E-8	-2.982933E-2
2.405000E-8	-2.831679E-2
2.410000E-8	-2.652676E-2
2.415000E-8	-2.457228E-2
2.420000E-8	-2.254758E-2
2.425000E-8	-2.054171E-2
2.430000E-8	-1.867974E-2
2.435000E-8	-1.705072E-2
2.440000E-8	-1.573860E-2
2.445000E-8	-1.488898E-2
2.450000E-8	-1.459606E-2
2.455000E-8	-1.478106E-2
2.460000E-8	-1.537888E-2
2.465000E-8	-1.645461E-2
2.470000E-8	-1.794317E-2
2.475000E-8	-1.966468E-2
2.480000E-8	-2.147356E-2
2.485000E-8	-2.333382E-2
2.490000E-8	-2.519751E-2
2.495000E-8	-2.691217E-2
2.500000E-8	-2.839901E-2
2.505000E-8	-2.961178E-2
2.510000E-8	-3.049738E-2
2.515000E-8	-3.100612E-2
2.520000E-8	-3.113631E-2
2.525000E-8	-3.085881E-2
2.530000E-8	-3.018048E-2
2.535000E-8	-2.916642E-2
2.540000E-8	-2.785258E-2
2.545000E-8	-2.624070E-2
2.550000E-8	-2.438557E-2
2.555000E-8	-2.242596E-2
2.560000E-8	-2.047662E-2
2.565000E-8	-1.861978E-2
2.570000E-8	-1.694966E-2
2.575000E-8	-1.555874E-2
2.580000E-8	-1.454810E-2
2.585000E-8	-1.399653E-2
2.590000E-8	-1.393658E-2
2.595000E-8	-1.432884E-2
2.600000E-8	-1.512365E-2
2.605000E-8	-1.630216E-2
2.610000E-8	-1.776845E-2
2.615000E-8	-1.940945E-2
2.620000E-8	-2.114810E-2
2.625000E-8	-2.293299E-2
2.630000E-8	-2.464765E-2
2.635000E-8	-2.618246E-2
2.640000E-8	-2.750486E-2
2.645000E-8	-2.856175E-2
2.650000E-8	-2.924864E-2
2.655000E-8	-2.953299E-2
2.660000E-8	-2.944391E-2
2.665000E-8	-2.900197E-2
2.670000E-8	-2.821402E-2
2.675000E-8	-2.709203E-2
2.680000E-8	-2.566857E-2
2.685000E-8	-2.398132E-2
2.690000E-8	-2.210392E-2
2.695000E-8	-2.013403E-2
2.700000E-8	-1.818983E-2
2.705000E-8	-1.640494E-2
2.710000E-8	-1.488041E-2
2.715000E-8	-1.368991E-2
2.720000E-8	-1.290881E-2
2.725000E-8	-1.260219E-2
2.730000E-8	-1.275636E-2
2.735000E-8	-1.335417E-2
2.740000E-8	-1.437681E-2
2.745000E-8	-1.572490E-2
2.750000E-8	-1.731452E-2
2.755000E-8	-1.904973E-2
2.760000E-8	-2.081921E-2
2.765000E-8	-2.253045E-2
2.770000E-8	-2.411664E-2
2.775000E-8	-2.552126E-2
2.780000E-8	-2.665009E-2
2.785000E-8	-2.747402E-2
2.790000E-8	-2.798962E-2
2.795000E-8	-2.815749E-2
2.800000E-8	-2.797078E-2
2.805000E-8	-2.744833E-2
2.810000E-8	-2.661412E-2
2.815000E-8	-2.546987E-2
2.820000E-8	-2.403956E-2
2.825000E-8	-2.237628E-2
2.830000E-8	-2.053829E-2
2.835000E-8	-1.863691E-2
2.840000E-8	-1.682461E-2
2.845000E-8	-1.517161E-2
2.850000E-8	-1.374130E-2
2.855000E-8	-1.265872E-2
2.860000E-8	-1.202835E-2
2.865000E-8	-1.183993E-2
2.870000E-8	-1.205062E-2
2.875000E-8	-1.266214E-2
2.880000E-8	-1.365051E-2
2.885000E-8	-1.494551E-2
2.890000E-8	-1.648545E-2
2.895000E-8	-1.816243E-2
2.900000E-8	-1.984454E-2
2.905000E-8	-2.145985E-2
2.910000E-8	-2.295183E-2
2.915000E-8	-2.424340E-2
2.920000E-8	-2.525233E-2
2.925000E-8	-2.595635E-2
2.930000E-8	-2.633148E-2
2.935000E-8	-2.637431E-2
2.940000E-8	-2.607112E-2
2.945000E-8	-2.544075E-2
2.950000E-8	-2.449178E-2
2.955000E-8	-2.326702E-2
2.960000E-8	-2.180758E-2
2.965000E-8	-2.020940E-2
2.970000E-8	-1.854955E-2
2.975000E-8	-1.687600E-2
2.980000E-8	-1.526411E-2
2.985000E-8	-1.385778E-2
2.990000E-8	-1.274265E-2
2.995000E-8	-1.193585E-2
3.000000E-8	-1.149048E-2
3.005000E-8	-1.146993E-2
3.010000E-8	-1.185534E-2
3.015000E-8	-1.259020E-2
3.020000E-8	-1.363167E-2
3.025000E-8	-1.491639E-2
3.030000E-8	-1.637753E-2
3.035000E-8	-1.793460E-2
3.040000E-8	-1.951566E-2
3.045000E-8	-2.102305E-2
3.050000E-8	-2.237286E-2
3.055000E-8	-2.348285E-2
3.060000E-8	-2.430678E-2
3.065000E-8	-2.481381E-2
3.070000E-8	-2.500223E-2
3.075000E-8	-2.486177E-2
3.080000E-8	-2.440442E-2
3.085000E-8	-2.364558E-2
3.090000E-8	-2.260924E-2
3.095000E-8	-2.134337E-2
3.100000E-8	-1.988737E-2
3.105000E-8	-1.829261E-2
3.110000E-8	-1.665503E-2
3.115000E-8	-1.509796E-2
3.120000E-8	-1.370019E-2
3.125000E-8	-1.251140E-2
3.130000E-8	-1.158298E-2
3.135000E-8	-1.096804E-2
3.140000E-8	-1.071623E-2
3.145000E-8	-1.083100E-2
3.150000E-8	-1.129521E-2
3.155000E-8	-1.208830E-2
3.160000E-8	-1.316746E-2
3.165000E-8	-1.444875E-2
3.170000E-8	-1.586879E-2
