Study Name	V44_832864_470C
Sample Name	09-04-2025
Run Name	470C-baseline-hot
Operator	Alicia
Date	9/4/2025
Time	17:34
Sign	POS
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	11
dt	50.000001E-12
time stamp (ms)	5:45:36 PM
	
Time	Amplitude
0.000000E+0	-2.158420E-4
5.000000E-11	-3.288963E-4
1.000000E-10	-4.248212E-4
1.500000E-10	-5.104685E-4
2.000000E-10	-5.824122E-4
2.500000E-10	-6.235229E-4
3.000000E-10	-6.235229E-4
3.500000E-10	-5.892640E-4
4.000000E-10	-5.241721E-4
4.500000E-10	-4.419507E-4
5.000000E-10	-3.563034E-4
5.500000E-10	-2.638044E-4
6.000000E-10	-1.747313E-4
6.500000E-10	-1.130652E-4
7.000000E-10	-8.908402E-5
7.500000E-10	-9.936169E-5
8.000000E-10	-1.404724E-4
8.500000E-10	-1.987125E-4
9.000000E-10	-2.775080E-4
9.500000E-10	-3.494517E-4
1.000000E-9	-4.008400E-4
1.050000E-9	-4.248212E-4
1.100000E-9	-4.213954E-4
1.150000E-9	-3.905623E-4
1.200000E-9	-3.494517E-4
1.250000E-9	-2.980633E-4
1.300000E-9	-2.192678E-4
1.350000E-9	-1.438983E-4
1.400000E-9	-9.250991E-5
1.450000E-9	-5.482512E-5
1.500000E-9	-2.741799E-5
1.550000E-9	-3.769567E-5
1.600000E-9	-9.250991E-5
1.650000E-9	-1.473241E-4
1.700000E-9	-1.850089E-4
1.750000E-9	-2.363973E-4
1.800000E-9	-3.014892E-4
1.850000E-9	-3.597293E-4
1.900000E-9	-3.905623E-4
1.950000E-9	-4.042659E-4
2.000000E-9	-4.179695E-4
2.050000E-9	-4.076918E-4
2.100000E-9	-3.802847E-4
2.150000E-9	-3.563034E-4
2.200000E-9	-3.357481E-4
2.250000E-9	-2.980633E-4
2.300000E-9	-2.638044E-4
2.350000E-9	-2.501009E-4
2.400000E-9	-2.363973E-4
2.450000E-9	-2.158420E-4
2.500000E-9	-1.918607E-4
2.550000E-9	-1.678795E-4
2.600000E-9	-1.438983E-4
2.650000E-9	-1.301947E-4
2.700000E-9	-1.096394E-4
2.750000E-9	-7.880635E-5
2.800000E-9	-5.482512E-5
2.850000E-9	-5.825101E-5
2.900000E-9	-6.510279E-5
2.950000E-9	-8.565813E-5
3.000000E-9	-1.130652E-4
3.050000E-9	-1.473241E-4
3.100000E-9	-1.884348E-4
3.150000E-9	-2.466750E-4
3.200000E-9	-2.980633E-4
3.250000E-9	-3.425999E-4
3.300000E-9	-3.974141E-4
3.350000E-9	-4.590801E-4
3.400000E-9	-5.070426E-4
3.450000E-9	-5.344497E-4
3.500000E-9	-5.413015E-4
3.550000E-9	-5.310238E-4
3.600000E-9	-5.275979E-4
3.650000E-9	-5.070426E-4
3.700000E-9	-4.453766E-4
3.750000E-9	-3.563034E-4
3.800000E-9	-2.603785E-4
3.850000E-9	-1.507500E-4
3.900000E-9	-4.454745E-5
3.950000E-9	4.795159E-5
4.000000E-9	1.404506E-4
4.050000E-9	2.226720E-4
4.100000E-9	2.706344E-4
4.150000E-9	2.911898E-4
4.200000E-9	3.048933E-4
4.250000E-9	2.911898E-4
4.300000E-9	2.569309E-4
4.350000E-9	2.123943E-4
4.400000E-9	1.473024E-4
4.450000E-9	7.535871E-5
4.500000E-9	1.369269E-5
4.550000E-9	-4.112156E-5
4.600000E-9	-9.250991E-5
4.650000E-9	-1.233429E-4
4.700000E-9	-1.438983E-4
4.750000E-9	-1.644536E-4
4.800000E-9	-1.678795E-4
4.850000E-9	-1.541759E-4
4.900000E-9	-1.507500E-4
4.950000E-9	-1.576018E-4
5.000000E-9	-1.644536E-4
5.050000E-9	-1.815830E-4
5.100000E-9	-2.021384E-4
5.150000E-9	-2.124161E-4
5.200000E-9	-2.329714E-4
5.250000E-9	-2.638044E-4
5.300000E-9	-2.809339E-4
5.350000E-9	-2.775080E-4
5.400000E-9	-2.638044E-4
5.450000E-9	-2.261196E-4
5.500000E-9	-1.507500E-4
5.550000E-9	-7.195457E-5
5.600000E-9	3.415016E-6
5.650000E-9	8.563638E-5
5.700000E-9	1.507283E-4
5.750000E-9	2.021166E-4
5.800000E-9	2.466532E-4
5.850000E-9	2.706344E-4
5.900000E-9	2.466532E-4
5.950000E-9	1.918390E-4
6.000000E-9	1.267471E-4
6.050000E-9	5.480337E-5
6.100000E-9	6.840906E-6
6.150000E-9	-3.436764E-6
6.200000E-9	3.415016E-6
6.250000E-9	2.054447E-5
6.300000E-9	6.165515E-5
6.350000E-9	1.164694E-4
6.400000E-9	1.541542E-4
6.450000E-9	1.952649E-4
6.500000E-9	2.329497E-4
6.550000E-9	2.295238E-4
6.600000E-9	1.781354E-4
6.650000E-9	1.096176E-4
6.700000E-9	2.397036E-5
6.750000E-9	-9.593580E-5
6.800000E-9	-2.398232E-4
6.850000E-9	-3.734329E-4
6.900000E-9	-4.933390E-4
6.950000E-9	-5.858381E-4
7.000000E-9	-6.406523E-4
7.050000E-9	-6.646336E-4
7.100000E-9	-6.680594E-4
7.150000E-9	-6.372264E-4
7.200000E-9	-5.721345E-4
7.250000E-9	-4.933390E-4
7.300000E-9	-4.076918E-4
7.350000E-9	-3.186187E-4
7.400000E-9	-2.398232E-4
7.450000E-9	-1.610277E-4
7.500000E-9	-8.565813E-5
7.550000E-9	-3.769567E-5
7.600000E-9	-1.714032E-5
7.650000E-9	-1.028854E-5
7.700000E-9	-2.741799E-5
7.750000E-9	-9.250991E-5
7.800000E-9	-1.747313E-4
7.850000E-9	-2.603785E-4
7.900000E-9	-3.631552E-4
7.950000E-9	-4.693578E-4
8.000000E-9	-5.550051E-4
8.050000E-9	-6.200970E-4
8.100000E-9	-6.680594E-4
8.150000E-9	-6.851889E-4
8.200000E-9	-6.612077E-4
8.250000E-9	-6.063934E-4
8.300000E-9	-5.515792E-4
8.350000E-9	-4.967649E-4
8.400000E-9	-4.145436E-4
8.450000E-9	-3.323222E-4
8.500000E-9	-3.014892E-4
8.550000E-9	-3.049151E-4
8.600000E-9	-3.049151E-4
8.650000E-9	-3.288963E-4
8.700000E-9	-4.008400E-4
8.750000E-9	-4.625060E-4
8.800000E-9	-4.899132E-4
8.850000E-9	-5.241721E-4
8.900000E-9	-5.515792E-4
8.950000E-9	-5.275979E-4
9.000000E-9	-4.762096E-4
9.050000E-9	-4.111177E-4
9.100000E-9	-3.151928E-4
9.150000E-9	-1.815830E-4
9.200000E-9	-5.825101E-5
9.250000E-9	3.767392E-5
9.300000E-9	1.096176E-4
9.350000E-9	1.507283E-4
9.400000E-9	1.370247E-4
9.450000E-9	7.878460E-5
9.500000E-9	1.711858E-5
9.550000E-9	-4.797334E-5
9.600000E-9	-1.473241E-4
9.650000E-9	-2.535267E-4
9.700000E-9	-3.254704E-4
9.750000E-9	-3.802847E-4
9.800000E-9	-4.316730E-4
9.850000E-9	-4.762096E-4
9.900000E-9	-5.207462E-4
9.950000E-9	-5.550051E-4
1.000000E-8	-5.481533E-4
1.005000E-8	-5.275979E-4
1.010000E-8	-5.447274E-4
1.015000E-8	-5.687086E-4
1.020000E-8	-5.755604E-4
1.025000E-8	-5.858381E-4
1.030000E-8	-6.029675E-4
1.035000E-8	-6.029675E-4
1.040000E-8	-5.995416E-4
1.045000E-8	-5.926899E-4
1.050000E-8	-5.789863E-4
1.055000E-8	-5.687086E-4
1.060000E-8	-5.721345E-4
1.065000E-8	-5.618569E-4
1.070000E-8	-5.344497E-4
1.075000E-8	-5.173203E-4
1.080000E-8	-4.967649E-4
1.085000E-8	-4.488025E-4
1.090000E-8	-4.008400E-4
1.095000E-8	-3.563034E-4
1.100000E-8	-2.843598E-4
1.105000E-8	-1.815830E-4
1.110000E-8	-8.223224E-5
1.115000E-8	-1.371443E-5
1.120000E-8	3.424803E-5
1.125000E-8	6.165515E-5
1.130000E-8	6.508104E-5
1.135000E-8	3.082214E-5
1.140000E-8	-3.084388E-5
1.145000E-8	-1.164911E-4
1.150000E-8	-2.226937E-4
1.155000E-8	-3.049151E-4
1.160000E-8	-3.631552E-4
1.165000E-8	-4.076918E-4
1.170000E-8	-4.179695E-4
1.175000E-8	-3.665811E-4
1.180000E-8	-2.809339E-4
1.185000E-8	-1.610277E-4
1.190000E-8	1.711858E-5
1.195000E-8	2.637827E-4
1.200000E-8	5.823904E-4
1.205000E-8	9.832196E-4
1.210000E-8	1.469696E-3
1.215000E-8	2.093208E-3
1.220000E-8	2.925699E-3
1.225000E-8	4.004855E-3
1.230000E-8	5.361507E-3
1.235000E-8	7.064175E-3
1.240000E-8	9.174523E-3
1.245000E-8	1.171653E-2
1.250000E-8	1.470391E-2
1.255000E-8	1.813665E-2
1.260000E-8	2.197022E-2
1.265000E-8	2.613953E-2
1.270000E-8	3.057948E-2
1.275000E-8	3.518045E-2
1.280000E-8	3.978142E-2
1.285000E-8	4.422823E-2
1.290000E-8	4.840096E-2
1.295000E-8	5.214889E-2
1.300000E-8	5.533497E-2
1.305000E-8	5.781874E-2
1.310000E-8	5.951113E-2
1.315000E-8	6.037788E-2
1.320000E-8	6.039158E-2
1.325000E-8	5.957279E-2
1.330000E-8	5.797633E-2
1.335000E-8	5.571867E-2
1.340000E-8	5.294369E-2
1.345000E-8	4.979873E-2
1.350000E-8	4.648247E-2
1.355000E-8	4.323815E-2
1.360000E-8	4.023707E-2
1.365000E-8	3.761626E-2
1.370000E-8	3.551962E-2
1.375000E-8	3.408417E-2
1.380000E-8	3.334760E-2
1.385000E-8	3.326881E-2
1.390000E-8	3.382038E-2
1.395000E-8	3.495435E-2
1.400000E-8	3.656451E-2
1.405000E-8	3.851727E-2
1.410000E-8	4.069956E-2
1.415000E-8	4.302232E-2
1.420000E-8	4.535535E-2
1.425000E-8	4.757532E-2
1.430000E-8	4.958975E-2
1.435000E-8	5.132667E-2
1.440000E-8	5.271759E-2
1.445000E-8	5.371795E-2
1.450000E-8	5.429692E-2
1.455000E-8	5.437572E-2
1.460000E-8	5.393035E-2
1.465000E-8	5.300536E-2
1.470000E-8	5.161788E-2
1.475000E-8	4.978502E-2
1.480000E-8	4.755820E-2
1.485000E-8	4.506072E-2
1.490000E-8	4.243992E-2
1.495000E-8	3.982254E-2
1.500000E-8	3.730793E-2
1.505000E-8	3.502629E-2
1.510000E-8	3.311464E-2
1.515000E-8	3.168262E-2
1.520000E-8	3.076791E-2
1.525000E-8	3.039449E-2
1.530000E-8	3.060347E-2
1.535000E-8	3.136401E-2
1.540000E-8	3.259391E-2
1.545000E-8	3.423148E-2
1.550000E-8	3.619109E-2
1.555000E-8	3.833570E-2
1.560000E-8	4.054540E-2
1.565000E-8	4.272426E-2
1.570000E-8	4.475582E-2
1.575000E-8	4.652015E-2
1.580000E-8	4.793847E-2
1.585000E-8	4.892170E-2
1.590000E-8	4.940475E-2
1.595000E-8	4.940818E-2
1.600000E-8	4.892855E-2
1.605000E-8	4.793162E-2
1.610000E-8	4.646876E-2
1.615000E-8	4.463249E-2
1.620000E-8	4.251529E-2
1.625000E-8	4.018911E-2
1.630000E-8	3.779098E-2
1.635000E-8	3.543740E-2
1.640000E-8	3.321742E-2
1.645000E-8	3.124068E-2
1.650000E-8	2.962366E-2
1.655000E-8	2.843145E-2
1.660000E-8	2.770516E-2
1.665000E-8	2.748248E-2
1.670000E-8	2.776340E-2
1.675000E-8	2.851367E-2
1.680000E-8	2.971959E-2
1.685000E-8	3.133661E-2
1.690000E-8	3.324825E-2
1.695000E-8	3.534147E-2
1.700000E-8	3.754432E-2
1.705000E-8	3.973689E-2
1.710000E-8	4.177187E-2
1.715000E-8	4.355676E-2
1.720000E-8	4.499563E-2
1.725000E-8	4.596173E-2
1.730000E-8	4.641395E-2
1.735000E-8	4.635571E-2
1.740000E-8	4.578016E-2
1.745000E-8	4.467702E-2
1.750000E-8	4.310111E-2
1.755000E-8	4.116891E-2
1.760000E-8	3.899004E-2
1.765000E-8	3.664331E-2
1.770000E-8	3.425204E-2
1.775000E-8	3.197040E-2
1.780000E-8	2.990801E-2
1.785000E-8	2.812655E-2
1.790000E-8	2.670138E-2
1.795000E-8	2.571129E-2
1.800000E-8	2.519056E-2
1.805000E-8	2.513232E-2
1.810000E-8	2.553657E-2
1.815000E-8	2.638962E-2
1.820000E-8	2.763664E-2
1.825000E-8	2.920570E-2
1.830000E-8	3.102828E-2
1.835000E-8	3.302557E-2
1.840000E-8	3.508453E-2
1.845000E-8	3.708525E-2
1.850000E-8	3.891810E-2
1.855000E-8	4.051457E-2
1.860000E-8	4.178900E-2
1.865000E-8	4.265575E-2
1.870000E-8	4.306685E-2
1.875000E-8	4.299148E-2
1.880000E-8	4.239880E-2
1.885000E-8	4.132308E-2
1.890000E-8	3.983624E-2
1.895000E-8	3.800681E-2
1.900000E-8	3.588961E-2
1.905000E-8	3.360112E-2
1.910000E-8	3.129207E-2
1.915000E-8	2.907894E-2
1.920000E-8	2.706110E-2
1.925000E-8	2.533102E-2
1.930000E-8	2.398122E-2
1.935000E-8	2.311447E-2
1.940000E-8	2.276160E-2
1.945000E-8	2.289179E-2
1.950000E-8	2.349817E-2
1.955000E-8	2.456705E-2
1.960000E-8	2.601277E-2
1.965000E-8	2.774970E-2
1.970000E-8	2.972644E-2
1.975000E-8	3.182993E-2
1.980000E-8	3.390945E-2
1.985000E-8	3.589304E-2
1.990000E-8	3.770191E-2
1.995000E-8	3.922643E-2
2.000000E-8	4.037753E-2
2.005000E-8	4.109697E-2
2.010000E-8	4.134363E-2
2.015000E-8	4.111752E-2
2.020000E-8	4.043577E-2
2.025000E-8	3.929495E-2
2.030000E-8	3.773959E-2
2.035000E-8	3.587591E-2
2.040000E-8	3.381010E-2
2.045000E-8	3.162438E-2
2.050000E-8	2.942839E-2
2.055000E-8	2.735230E-2
2.060000E-8	2.550232E-2
2.065000E-8	2.395724E-2
2.070000E-8	2.278901E-2
2.075000E-8	2.205587E-2
2.080000E-8	2.181263E-2
2.085000E-8	2.205244E-2
2.090000E-8	2.273420E-2
2.095000E-8	2.383391E-2
2.100000E-8	2.530019E-2
2.105000E-8	2.704397E-2
2.110000E-8	2.897959E-2
2.115000E-8	3.100429E-2
2.120000E-8	3.300844E-2
2.125000E-8	3.488583E-2
2.130000E-8	3.656794E-2
2.135000E-8	3.795543E-2
2.140000E-8	3.897291E-2
2.145000E-8	3.957587E-2
2.150000E-8	3.974717E-2
2.155000E-8	3.945254E-2
2.160000E-8	3.869199E-2
2.165000E-8	3.749978E-2
2.170000E-8	3.594100E-2
2.175000E-8	3.410815E-2
2.180000E-8	3.208688E-2
2.185000E-8	2.993199E-2
2.190000E-8	2.774970E-2
2.195000E-8	2.568731E-2
2.200000E-8	2.385789E-2
2.205000E-8	2.232994E-2
2.210000E-8	2.115143E-2
2.215000E-8	2.041487E-2
2.220000E-8	2.016820E-2
2.225000E-8	2.040116E-2
2.230000E-8	2.108634E-2
2.235000E-8	2.219633E-2
2.240000E-8	2.367974E-2
2.245000E-8	2.543380E-2
2.250000E-8	2.736943E-2
2.255000E-8	2.938385E-2
2.260000E-8	3.135031E-2
2.265000E-8	3.318659E-2
2.270000E-8	3.480018E-2
2.275000E-8	3.608489E-2
2.280000E-8	3.695849E-2
2.285000E-8	3.739701E-2
2.290000E-8	3.736275E-2
2.295000E-8	3.684544E-2
2.300000E-8	3.588276E-2
2.305000E-8	3.451926E-2
2.310000E-8	3.279604E-2
2.315000E-8	3.081587E-2
2.320000E-8	2.868839E-2
2.325000E-8	2.649925E-2
2.330000E-8	2.437862E-2
2.335000E-8	2.246355E-2
2.340000E-8	2.081227E-2
2.345000E-8	1.949673E-2
2.350000E-8	1.862998E-2
2.355000E-8	1.823600E-2
2.360000E-8	1.829082E-2
2.365000E-8	1.881155E-2
2.370000E-8	1.978793E-2
2.375000E-8	2.112745E-2
2.380000E-8	2.274105E-2
2.385000E-8	2.456362E-2
2.390000E-8	2.648897E-2
2.395000E-8	2.841090E-2
2.400000E-8	3.023004E-2
2.405000E-8	3.184364E-2
2.410000E-8	3.317631E-2
2.415000E-8	3.417324E-2
2.420000E-8	3.477277E-2
2.425000E-8	3.494407E-2
2.430000E-8	3.469055E-2
2.435000E-8	3.402593E-2
2.440000E-8	3.294335E-2
2.445000E-8	3.150790E-2
2.450000E-8	2.979838E-2
2.455000E-8	2.789701E-2
2.460000E-8	2.589287E-2
2.465000E-8	2.389215E-2
2.470000E-8	2.198735E-2
2.475000E-8	2.027783E-2
2.480000E-8	1.888692E-2
2.485000E-8	1.786943E-2
2.490000E-8	1.723564E-2
2.495000E-8	1.704379E-2
2.500000E-8	1.732472E-2
2.505000E-8	1.802702E-2
2.510000E-8	1.910275E-2
2.515000E-8	2.051422E-2
2.520000E-8	2.216892E-2
2.525000E-8	2.396409E-2
2.530000E-8	2.580722E-2
2.535000E-8	2.759896E-2
2.540000E-8	2.922283E-2
2.545000E-8	3.059319E-2
2.550000E-8	3.166549E-2
2.555000E-8	3.238835E-2
2.560000E-8	3.273437E-2
2.565000E-8	3.268983E-2
2.570000E-8	3.225132E-2
2.575000E-8	3.142225E-2
2.580000E-8	3.026773E-2
2.585000E-8	2.884941E-2
2.590000E-8	2.721526E-2
2.595000E-8	2.543722E-2
2.600000E-8	2.361465E-2
2.605000E-8	2.180921E-2
2.610000E-8	2.011339E-2
2.615000E-8	1.865396E-2
2.620000E-8	1.748916E-2
2.625000E-8	1.663611E-2
2.630000E-8	1.615649E-2
2.635000E-8	1.610852E-2
2.640000E-8	1.644769E-2
2.645000E-8	1.713629E-2
2.650000E-8	1.817434E-2
2.655000E-8	1.951043E-2
2.660000E-8	2.104866E-2
2.665000E-8	2.271707E-2
2.670000E-8	2.442659E-2
2.675000E-8	2.607786E-2
2.680000E-8	2.758868E-2
2.685000E-8	2.889395E-2
2.690000E-8	2.992514E-2
2.695000E-8	3.061717E-2
2.700000E-8	3.093235E-2
2.705000E-8	3.082957E-2
2.710000E-8	3.031912E-2
2.715000E-8	2.945237E-2
2.720000E-8	2.824645E-2
2.725000E-8	2.672193E-2
2.730000E-8	2.498158E-2
2.735000E-8	2.313845E-2
2.740000E-8	2.127134E-2
2.745000E-8	1.945562E-2
2.750000E-8	1.779749E-2
2.755000E-8	1.639630E-2
2.760000E-8	1.531714E-2
2.765000E-8	1.460798E-2
2.770000E-8	1.429965E-2
2.775000E-8	1.440928E-2
2.780000E-8	1.491631E-2
2.785000E-8	1.576936E-2
2.790000E-8	1.693074E-2
2.795000E-8	1.835591E-2
2.800000E-8	1.995580E-2
2.805000E-8	2.161393E-2
2.810000E-8	2.327549E-2
2.815000E-8	2.486510E-2
2.820000E-8	2.627999E-2
2.825000E-8	2.744822E-2
2.830000E-8	2.832182E-2
2.835000E-8	2.884598E-2
2.840000E-8	2.897959E-2
2.845000E-8	2.873293E-2
2.850000E-8	2.811627E-2
2.855000E-8	2.716730E-2
2.860000E-8	2.592713E-2
2.865000E-8	2.444029E-2
2.870000E-8	2.277873E-2
2.875000E-8	2.106579E-2
2.880000E-8	1.939395E-2
2.885000E-8	1.782490E-2
2.890000E-8	1.645111E-2
2.895000E-8	1.536853E-2
2.900000E-8	1.459086E-2
2.905000E-8	1.414549E-2
2.910000E-8	1.408040E-2
2.915000E-8	1.438873E-2
2.920000E-8	1.501224E-2
2.925000E-8	1.595093E-2
2.930000E-8	1.716027E-2
2.935000E-8	1.853748E-2
2.940000E-8	2.001746E-2
2.945000E-8	2.156254E-2
2.950000E-8	2.306308E-2
2.955000E-8	2.441973E-2
2.960000E-8	2.561880E-2
2.965000E-8	2.658490E-2
2.970000E-8	2.722211E-2
2.975000E-8	2.752016E-2
2.980000E-8	2.749961E-2
2.985000E-8	2.711934E-2
2.990000E-8	2.637934E-2
2.995000E-8	2.533787E-2
3.000000E-8	2.404631E-2
3.005000E-8	2.254920E-2
3.010000E-8	2.093218E-2
3.015000E-8	1.928090E-2
3.020000E-8	1.767758E-2
3.025000E-8	1.620102E-2
3.030000E-8	1.493344E-2
3.035000E-8	1.393994E-2
3.040000E-8	1.327189E-2
3.045000E-8	1.297041E-2
3.050000E-8	1.303550E-2
3.055000E-8	1.346374E-2
3.060000E-8	1.423456E-2
3.065000E-8	1.530687E-2
3.070000E-8	1.659843E-2
3.075000E-8	1.804073E-2
3.080000E-8	1.955154E-2
3.085000E-8	2.105551E-2
3.090000E-8	2.248068E-2
3.095000E-8	2.375511E-2
3.100000E-8	2.481371E-2
3.105000E-8	2.560852E-2
3.110000E-8	2.609842E-2
3.115000E-8	2.625944E-2
3.120000E-8	2.608814E-2
3.125000E-8	2.559139E-2
3.130000E-8	2.479316E-2
3.135000E-8	2.372085E-2
3.140000E-8	2.241901E-2
3.145000E-8	2.095273E-2
3.150000E-8	1.939395E-2
3.155000E-8	1.782832E-2
3.160000E-8	1.633121E-2
3.165000E-8	1.498483E-2
3.170000E-8	1.385086E-2
3.175000E-8	1.299096E-2
3.180000E-8	1.244282E-2
3.185000E-8	1.224069E-2
3.190000E-8	1.240171E-2
3.195000E-8	1.291217E-2
3.200000E-8	1.371725E-2
3.205000E-8	1.477243E-2
3.210000E-8	1.603315E-2
3.215000E-8	1.742407E-2
3.220000E-8	1.883896E-2
3.225000E-8	2.021617E-2
3.230000E-8	2.148717E-2
3.235000E-8	2.257318E-2
3.240000E-8	2.341937E-2
3.245000E-8	2.400178E-2
3.250000E-8	2.428612E-2
3.255000E-8	2.423131E-2
3.260000E-8	2.385104E-2
3.265000E-8	2.318299E-2
3.270000E-8	2.225457E-2
3.275000E-8	2.111032E-2
3.280000E-8	1.981876E-2
3.285000E-8	1.845183E-2
3.290000E-8	1.708148E-2
3.295000E-8	1.576594E-2
3.300000E-8	1.456345E-2
