run_name	grating_value[um]	date_time	SAW_freq[Hz]	SAW_freq_error[Hz]	A[Wm^-2]	A_err[Wm^-2]	alpha[m^2s^-1]	alpha_err[m2s-1]	beta[s^0.5]	beta_err[s^0.5]	B[Wm^-2]	B_err[Wm^-2]	theta	theta_err	tau[s]	tau_err[s]	C[Wm^-2]	C_err[Wm^-2]
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-1.txt	2025_09_04_17:47:16	3.5217	7.26E+08	5719.6424	0.19137879	0.002008175	9.95E-06	3.46E-08	8.36E-06	4.38E-07	0.025765006	0.000143661	-1.4995936	0.003743158	2.03E-08	1.41E-10	0.001194011	2.03E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-2.txt	2025_09_04_17:48:17	3.5217	7.25E+08	5399.4072	0.18675974	0.002008882	9.88E-06	3.52E-08	7.86E-06	4.55E-07	0.025282788	0.000141844	-1.4835324	0.003768566	2.09E-08	1.46E-10	0.001182263	2.06E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-3.txt	2025_09_04_17:49:17	3.5217	7.25E+08	5949.3966	0.18838029	0.002081774	9.94E-06	3.63E-08	8.11E-06	4.64E-07	0.0257292	0.000148836	-1.4883997	0.0038837	2.03E-08	1.46E-10	0.001086534	2.11E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-4.txt	2025_09_04_17:50:16	3.5217	7.25E+08	5747.8411	0.18924278	0.002052794	9.99E-06	3.59E-08	8.48E-06	4.51E-07	0.026031707	0.000145104	-1.4893467	0.003742029	2.05E-08	1.42E-10	0.001089719	2.06E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-5.txt	2025_09_04_17:51:17	3.5217	7.25E+08	5661.0545	0.19080874	0.002066003	1.00E-05	3.58E-08	8.41E-06	4.50E-07	0.026225662	0.000146347	-1.4610721	0.003746189	2.02E-08	1.40E-10	0.000965843	2.05E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-6.txt	2025_09_04_17:52:17	3.5217	7.25E+08	5481.8789	0.18856837	0.002003595	1.01E-05	3.49E-08	7.71E-06	4.48E-07	0.025623493	0.000139218	-1.4632529	0.003648008	2.05E-08	1.39E-10	0.001384539	1.96E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-7.txt	2025_09_04_17:53:17	3.5217	7.25E+08	5670.3688	0.18994195	0.002031393	1.01E-05	3.53E-08	8.03E-06	4.48E-07	0.025506145	0.000140392	-1.4713282	0.003695749	2.07E-08	1.42E-10	0.001238671	1.99E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-8.txt	2025_09_04_17:54:17	3.5217	7.25E+08	5648.217	0.18740651	0.002067946	1.00E-05	3.60E-08	7.15E-06	4.72E-07	0.025829784	0.000144927	-1.4628105	0.003767027	2.05E-08	1.43E-10	0.001223424	2.06E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-9.txt	2025_09_04_17:55:17	3.5217	7.25E+08	5958.0518	0.19009735	0.002117991	1.01E-05	3.68E-08	8.09E-06	4.66E-07	0.025738491	0.000147277	-1.4655328	0.003841623	2.05E-08	1.46E-10	0.00099885	2.08E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-10.txt	2025_09_04_17:56:18	3.5217	7.25E+08	5518.4175	0.18854975	0.00206518	1.00E-05	3.60E-08	7.88E-06	4.61E-07	0.025499677	0.000144495	-1.4855499	0.003803447	2.05E-08	1.45E-10	0.001253409	2.04E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-11.txt	2025_09_04_17:57:17	3.5217	7.25E+08	5620.9217	0.18654071	0.003811164	1.01E-05	6.64E-08	6.67E-06	8.83E-07	0.012885788	0.000178962	-1.3340742	0.009414189	3.53E-08	6.49E-10	0.0010669	3.76E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-12.txt	2025_09_04_17:58:18	3.5217	7.25E+08	5709.0397	0.1958235	0.002093836	1.02E-05	3.58E-08	9.13E-06	4.34E-07	0.02540919	0.000144972	-1.4729263	0.003829332	2.03E-08	1.44E-10	0.000923495	2.01E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-13.txt	2025_09_04_17:59:18	3.5217	7.25E+08	5738.6899	0.19628042	0.002112253	1.01E-05	3.58E-08	8.61E-06	4.43E-07	0.026510971	0.000147562	-1.4583316	0.00373623	2.02E-08	1.40E-10	0.000944034	2.05E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-14.txt	2025_09_04_18:00:18	3.5217	7.25E+08	6060.4043	0.19828944	0.002130131	1.02E-05	3.60E-08	9.40E-06	4.34E-07	0.026009553	0.000147181	-1.4876403	0.003797835	2.03E-08	1.43E-10	0.001018647	2.05E-05
