Study Name	V44_832864_470C
Sample Name	09-04-2025
Run Name	470C-Fe3p-5MeV-irradiation
Operator	Alicia
Date	9/4/2025
Time	17:46
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	122
dt	50.000001E-12
time stamp (ms)	7:48:34 PM
	
Time	Amplitude
0.000000E+0	-1.778106E-3
5.000000E-11	-1.819217E-3
1.000000E-10	-1.846624E-3
1.500000E-10	-1.846624E-3
2.000000E-10	-1.812365E-3
2.500000E-10	-1.764403E-3
3.000000E-10	-1.706163E-3
3.500000E-10	-1.620515E-3
4.000000E-10	-1.517739E-3
4.500000E-10	-1.445795E-3
5.000000E-10	-1.428666E-3
5.500000E-10	-1.438943E-3
6.000000E-10	-1.469776E-3
6.500000E-10	-1.579405E-3
7.000000E-10	-1.726718E-3
7.500000E-10	-1.839772E-3
8.000000E-10	-1.939123E-3
8.500000E-10	-2.055604E-3
9.000000E-10	-2.141251E-3
9.500000E-10	-2.172084E-3
1.000000E-9	-2.196065E-3
1.050000E-9	-2.247453E-3
1.100000E-9	-2.285138E-3
1.150000E-9	-2.305694E-3
1.200000E-9	-2.322823E-3
1.250000E-9	-2.339952E-3
1.300000E-9	-2.353656E-3
1.350000E-9	-2.343378E-3
1.400000E-9	-2.274860E-3
1.450000E-9	-2.158380E-3
1.500000E-9	-1.993938E-3
1.550000E-9	-1.767829E-3
1.600000E-9	-1.504035E-3
1.650000E-9	-1.250519E-3
1.700000E-9	-1.020985E-3
1.750000E-9	-8.222831E-4
1.800000E-9	-6.818216E-4
1.850000E-9	-6.201556E-4
1.900000E-9	-6.167297E-4
1.950000E-9	-6.715439E-4
2.000000E-9	-7.914501E-4
2.050000E-9	-9.421892E-4
2.100000E-9	-1.110058E-3
2.150000E-9	-1.291630E-3
2.200000E-9	-1.462925E-3
2.250000E-9	-1.582831E-3
2.300000E-9	-1.668478E-3
2.350000E-9	-1.736996E-3
2.400000E-9	-1.778106E-3
2.450000E-9	-1.760977E-3
2.500000E-9	-1.713015E-3
2.550000E-9	-1.665052E-3
2.600000E-9	-1.606812E-3
2.650000E-9	-1.551998E-3
2.700000E-9	-1.521165E-3
2.750000E-9	-1.493758E-3
2.800000E-9	-1.480054E-3
2.850000E-9	-1.493758E-3
2.900000E-9	-1.531442E-3
2.950000E-9	-1.562275E-3
3.000000E-9	-1.596534E-3
3.050000E-9	-1.613664E-3
3.100000E-9	-1.582831E-3
3.150000E-9	-1.534868E-3
3.200000E-9	-1.490332E-3
3.250000E-9	-1.421814E-3
3.300000E-9	-1.322463E-3
3.350000E-9	-1.233390E-3
3.400000E-9	-1.175150E-3
3.450000E-9	-1.168298E-3
3.500000E-9	-1.236816E-3
3.550000E-9	-1.356722E-3
3.600000E-9	-1.469776E-3
3.650000E-9	-1.623941E-3
3.700000E-9	-1.843198E-3
3.750000E-9	-2.065881E-3
3.800000E-9	-2.247453E-3
3.850000E-9	-2.422174E-3
3.900000E-9	-2.572913E-3
3.950000E-9	-2.648283E-3
4.000000E-9	-2.644857E-3
4.050000E-9	-2.600320E-3
4.100000E-9	-2.524950E-3
4.150000E-9	-2.394767E-3
4.200000E-9	-2.240602E-3
4.250000E-9	-2.113844E-3
4.300000E-9	-2.004215E-3
4.350000E-9	-1.884309E-3
4.400000E-9	-1.754125E-3
4.450000E-9	-1.637645E-3
4.500000E-9	-1.521165E-3
4.550000E-9	-1.401259E-3
4.600000E-9	-1.295056E-3
4.650000E-9	-1.202557E-3
4.700000E-9	-1.113484E-3
4.750000E-9	-1.062095E-3
4.800000E-9	-1.062095E-3
4.850000E-9	-1.103206E-3
