Study Name	V44_832864_470C
Sample Name	09-04-2025
Run Name	470C-Fe3p-5MeV-irradiation
Operator	Alicia
Date	9/4/2025
Time	17:46
Sign	NEG
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	107
dt	50.000001E-12
time stamp (ms)	7:33:32 PM
	
Time	Amplitude
0.000000E+0	1.812354E-3
5.000000E-11	1.853465E-3
1.000000E-10	1.887724E-3
1.500000E-10	1.908279E-3
2.000000E-10	1.925409E-3
2.500000E-10	1.945964E-3
3.000000E-10	1.956242E-3
3.500000E-10	1.952816E-3
4.000000E-10	1.945964E-3
4.500000E-10	1.921983E-3
5.000000E-10	1.874020E-3
5.500000E-10	1.812354E-3
6.000000E-10	1.743837E-3
6.500000E-10	1.658189E-3
7.000000E-10	1.562264E-3
7.500000E-10	1.466340E-3
8.000000E-10	1.380692E-3
8.500000E-10	1.308749E-3
9.000000E-10	1.257360E-3
9.500000E-10	1.243657E-3
1.000000E-9	1.271064E-3
1.050000E-9	1.305323E-3
1.100000E-9	1.336156E-3
1.150000E-9	1.380692E-3
1.200000E-9	1.445784E-3
1.250000E-9	1.500598E-3
1.300000E-9	1.521154E-3
1.350000E-9	1.528006E-3
1.400000E-9	1.521154E-3
1.450000E-9	1.507450E-3
1.500000E-9	1.514302E-3
1.550000E-9	1.545135E-3
1.600000E-9	1.582820E-3
1.650000E-9	1.623931E-3
1.700000E-9	1.678745E-3
1.750000E-9	1.750688E-3
1.800000E-9	1.832910E-3
1.850000E-9	1.911705E-3
1.900000E-9	1.963094E-3
1.950000E-9	1.993927E-3
2.000000E-9	2.028186E-3
2.050000E-9	2.048741E-3
2.100000E-9	2.031611E-3
2.150000E-9	1.987075E-3
2.200000E-9	1.935687E-3
2.250000E-9	1.867169E-3
2.300000E-9	1.767818E-3
2.350000E-9	1.654764E-3
2.400000E-9	1.534857E-3
2.450000E-9	1.418377E-3
2.500000E-9	1.322452E-3
2.550000E-9	1.257360E-3
2.600000E-9	1.212824E-3
2.650000E-9	1.192268E-3
2.700000E-9	1.202546E-3
2.750000E-9	1.240231E-3
2.800000E-9	1.298471E-3
2.850000E-9	1.373841E-3
2.900000E-9	1.456062E-3
2.950000E-9	1.534857E-3
3.000000E-9	1.596523E-3
3.050000E-9	1.634208E-3
3.100000E-9	1.644486E-3
3.150000E-9	1.654764E-3
3.200000E-9	1.671893E-3
3.250000E-9	1.661615E-3
3.300000E-9	1.623931E-3
3.350000E-9	1.599949E-3
3.400000E-9	1.599949E-3
3.450000E-9	1.575968E-3
3.500000E-9	1.531431E-3
3.550000E-9	1.521154E-3
3.600000E-9	1.521154E-3
3.650000E-9	1.490321E-3
3.700000E-9	1.456062E-3
3.750000E-9	1.456062E-3
3.800000E-9	1.435507E-3
3.850000E-9	1.373841E-3
3.900000E-9	1.325878E-3
3.950000E-9	1.312175E-3
4.000000E-9	1.291619E-3
4.050000E-9	1.250508E-3
4.100000E-9	1.229953E-3
4.150000E-9	1.243657E-3
4.200000E-9	1.271064E-3
4.250000E-9	1.301897E-3
4.300000E-9	1.346433E-3
4.350000E-9	1.404674E-3
4.400000E-9	1.483469E-3
4.450000E-9	1.572542E-3
4.500000E-9	1.647912E-3
4.550000E-9	1.702726E-3
4.600000E-9	1.747263E-3
4.650000E-9	1.788373E-3
4.700000E-9	1.812354E-3
4.750000E-9	1.819206E-3
4.800000E-9	1.819206E-3
4.850000E-9	1.846613E-3
4.900000E-9	1.901428E-3
4.950000E-9	1.963094E-3
5.000000E-9	2.011056E-3
5.050000E-9	2.062444E-3
5.100000E-9	2.130962E-3
5.150000E-9	2.189202E-3
