Study Name	V44_832864_470C
Sample Name	09-04-2025
Run Name	470C-Fe3p-5MeV-irradiation
Operator	Alicia
Date	9/4/2025
Time	17:46
Sign	POS
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	49
dt	50.000001E-12
time stamp (ms)	6:35:24 PM
	
Time	Amplitude
0.000000E+0	1.884131E-4
5.000000E-11	2.569309E-4
1.000000E-10	2.843380E-4
1.500000E-10	2.740603E-4
2.000000E-10	2.329497E-4
2.500000E-10	1.644319E-4
3.000000E-10	8.906227E-5
3.500000E-10	6.840906E-6
4.000000E-10	-7.538046E-5
4.500000E-10	-1.507500E-4
5.000000E-10	-2.089902E-4
5.500000E-10	-2.672303E-4
6.000000E-10	-3.220445E-4
6.500000E-10	-3.700070E-4
7.000000E-10	-4.111177E-4
7.500000E-10	-4.385248E-4
8.000000E-10	-4.453766E-4
8.500000E-10	-4.522284E-4
9.000000E-10	-4.522284E-4
9.500000E-10	-4.385248E-4
1.000000E-9	-4.008400E-4
1.050000E-9	-3.631552E-4
1.100000E-9	-3.288963E-4
1.150000E-9	-2.809339E-4
1.200000E-9	-2.192678E-4
1.250000E-9	-1.781572E-4
1.300000E-9	-1.678795E-4
1.350000E-9	-1.644536E-4
1.400000E-9	-1.541759E-4
1.450000E-9	-1.713054E-4
1.500000E-9	-2.158420E-4
1.550000E-9	-2.501009E-4
1.600000E-9	-2.638044E-4
1.650000E-9	-3.049151E-4
1.700000E-9	-3.631552E-4
1.750000E-9	-3.871365E-4
1.800000E-9	-4.076918E-4
1.850000E-9	-4.590801E-4
1.900000E-9	-5.173203E-4
1.950000E-9	-5.481533E-4
2.000000E-9	-5.755604E-4
2.050000E-9	-6.132452E-4
2.100000E-9	-6.440782E-4
2.150000E-9	-6.543559E-4
2.200000E-9	-6.509300E-4
2.250000E-9	-6.406523E-4
2.300000E-9	-6.063934E-4
2.350000E-9	-5.481533E-4
2.400000E-9	-4.659319E-4
2.450000E-9	-3.665811E-4
2.500000E-9	-2.569526E-4
2.550000E-9	-1.438983E-4
2.600000E-9	-3.426977E-5
2.650000E-9	6.165515E-5
2.700000E-9	1.198953E-4
2.750000E-9	1.507283E-4
2.800000E-9	1.575801E-4
2.850000E-9	1.370247E-4
2.900000E-9	8.221049E-5
2.950000E-9	2.054447E-5
3.000000E-9	-3.426977E-5
3.050000E-9	-9.936169E-5
3.100000E-9	-1.610277E-4
3.150000E-9	-2.089902E-4
3.200000E-9	-2.363973E-4
3.250000E-9	-2.398232E-4
3.300000E-9	-2.192678E-4
3.350000E-9	-1.884348E-4
3.400000E-9	-1.576018E-4
3.450000E-9	-1.199170E-4
3.500000E-9	-8.908402E-5
3.550000E-9	-8.565813E-5
3.600000E-9	-9.593580E-5
3.650000E-9	-8.565813E-5
3.700000E-9	-7.538046E-5
3.750000E-9	-5.825101E-5
3.800000E-9	-2.399210E-5
3.850000E-9	1.026680E-5
3.900000E-9	3.082214E-5
3.950000E-9	5.480337E-5
4.000000E-9	8.906227E-5
4.050000E-9	8.906227E-5
4.100000E-9	5.137748E-5
4.150000E-9	-2.056621E-5
4.200000E-9	-1.233429E-4
4.250000E-9	-2.432491E-4
4.300000E-9	-3.563034E-4
4.350000E-9	-4.693578E-4
4.400000E-9	-5.824122E-4
4.450000E-9	-6.646336E-4
4.500000E-9	-6.954666E-4
4.550000E-9	-6.886148E-4
4.600000E-9	-6.509300E-4
4.650000E-9	-5.721345E-4
4.700000E-9	-4.693578E-4
4.750000E-9	-3.460258E-4
4.800000E-9	-2.158420E-4
4.850000E-9	-1.130652E-4
4.900000E-9	-5.825101E-5
