run_name,date_time,grating_value[um],SAW_speed[m/s],SAW_freq[Hz],SAW_freq_error[Hz],A[Wm^-2],A_err[Wm^-2],alpha[m^2s^-1],alpha_err[m2s-1],beta[s^0.5],beta_err[s^0.5],B[Wm^-2],B_err[Wm^-2],theta,theta_err,tau[s],tau_err[s],C[Wm^-2],C_err[Wm^-2]
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-1.txt,2025_09_04_17:47:16,3.4,2467.1415,7.2562986e+08,5719.6428,0.19138437,0.0020084105,9.269858e-06,3.2272453e-08,8.3662329e-06,4.3775201e-07,0.025768927,0.00014367821,-1.499594,0.0037430342,2.0293137e-08,1.4068785e-10,0.0011940314,2.0302574e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-2.txt,2025_09_04_17:48:17,3.4,2466.5037,7.2544226e+08,5399.4075,0.18679034,0.002009159,9.2118234e-06,3.2855703e-08,7.8661996e-06,4.5494808e-07,0.025282757,0.00014184623,-1.4835298,0.0037686153,2.0857926e-08,1.4608719e-10,0.0011824036,2.057918e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-3.txt,2025_09_04_17:49:17,3.4,2466.3533,7.2539803e+08,5949.3966,0.18838977,0.0020819757,9.2626683e-06,3.3885432e-08,8.1082318e-06,4.6394567e-07,0.02572929,0.00014883669,-1.4883993,0.0038836963,2.0337588e-08,1.46332e-10,0.0010865779,2.1080357e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-4.txt,2025_09_04_17:50:16,3.4,2465.5307,7.2515609e+08,5747.8412,0.18927157,0.002053063,9.30771e-06,3.3432454e-08,8.486526e-06,4.5057323e-07,0.026031572,0.00014510662,-1.4893444,0.0037421041,2.0461443e-08,1.4198168e-10,0.0010898468,2.0578647e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-5.txt,2025_09_04_17:51:17,3.4,2464.1034,7.2473628e+08,5661.0548,0.19080441,0.0020661387,9.3589111e-06,3.3385528e-08,8.4054802e-06,4.4985447e-07,0.026225775,0.00014634661,-1.4610726,0.0037461621,2.0208732e-08,1.4013601e-10,0.00096582504,2.0473344e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-6.txt,2025_09_04_17:52:17,3.4,2464.0296,7.2471458e+08,5481.8793,0.18859892,0.0020038679,9.4176836e-06,3.2558389e-08,7.7173933e-06,4.4773006e-07,0.025623752,0.0001392178,-1.4632515,0.0036479582,2.0482404e-08,1.3855605e-10,0.0013846704,1.9599509e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-7.txt,2025_09_04_17:53:17,3.4,2464.0169,7.2471085e+08,5670.3693,0.18997121,0.0020316638,9.4032193e-06,3.2873559e-08,8.0319271e-06,4.4754855e-07,0.025506379,0.00014039111,-1.4713268,0.0036957026,2.0680115e-08,1.4190981e-10,0.0012387968,1.9935646e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-8.txt,2025_09_04_17:54:17,3.4,2463.3707,7.2452078e+08,5648.2176,0.1874388,0.0020682293,9.3466476e-06,3.3552226e-08,7.1577502e-06,4.7224835e-07,0.025829231,0.00014493263,-1.4628055,0.0037672562,2.0532876e-08,1.4349461e-10,0.0012235658,2.0550976e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-9.txt,2025_09_04_17:55:17,3.4,2463.7596,7.2463519e+08,5958.052,0.1901276,0.0021182786,9.4098525e-06,3.4276263e-08,8.0971987e-06,4.6541741e-07,0.025738722,0.00014727612,-1.4655314,0.0038415777,2.0494464e-08,1.4601493e-10,0.0009989805,2.0754579e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-10.txt,2025_09_04_17:56:18,3.4,2464.1286,7.247437e+08,5518.4179,0.18860044,0.0020655619,9.3657894e-06,3.3581877e-08,7.8866494e-06,4.6050449e-07,0.025500025,0.00014449581,-1.4855475,0.0038034168,2.0508242e-08,1.4469745e-10,0.0012536401,2.0437309e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-11.txt,2025_09_04_17:57:17,3.4,2464.2503,7.2477951e+08,5620.9219,0.1865594,0.0038121541,9.3846697e-06,6.1896957e-08,6.676615e-06,8.8299538e-07,0.012886122,0.00017900143,-1.3340736,0.0094160195,3.5259312e-08,6.4856136e-10,0.0010669774,3.7592451e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-12.txt,2025_09_04_17:58:18,3.4,2463.8371,7.2465797e+08,5709.0401,0.19582494,0.002093999,9.5019788e-06,3.3347543e-08,9.1288712e-06,4.3432259e-07,0.025409203,0.00014497175,-1.4729263,0.0038293313,2.0257148e-08,1.4365836e-10,0.0009235022,2.0104156e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-13.txt,2025_09_04_17:59:18,3.4,2463.4025,7.2453015e+08,5738.6904,0.19630974,0.0021125298,9.4569867e-06,3.3333045e-08,8.6166058e-06,4.4325581e-07,0.026511147,0.00014756195,-1.4583305,0.0037362026,2.0196504e-08,1.3967567e-10,0.00094415765,2.0483215e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-14.txt,2025_09_04_18:00:18,3.4,2464.6009,7.2488261e+08,6060.4045,0.19831185,0.0021303822,9.4932345e-06,3.3596511e-08,9.401501e-06,4.3355858e-07,0.026009643,0.00014718143,-1.4876391,0.0037978283,2.0345218e-08,1.4318573e-10,0.0010187432,2.0493028e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-15.txt,2025_09_04_18:01:18,3.4,2464.3165,7.2479898e+08,5633.1174,0.18738476,0.0020568256,9.412793e-06,3.3963208e-08,8.6126199e-06,4.5287038e-07,0.025107869,0.00014235788,-1.4721063,0.0038068726,2.0600722e-08,1.4554278e-10,0.0012147955,2.0139606e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-16.txt,2025_09_04_18:02:18,3.4,2464.2678,7.2478464e+08,5572.9663,0.19127001,0.0020742304,9.4256533e-06,3.3537197e-08,8.5352004e-06,4.4805099e-07,0.025225163,0.00014167083,-1.47203,0.0037717238,2.0899582e-08,1.4655694e-10,0.0010072064,2.0252949e-05
