Study Name	V44_832864
Sample Name	09-05-2025
Run Name	440ishC-5MeV_Fe-weird
Operator	Alicia
Date	9/5/2025
Time	23:09
Sign	NEG
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	37
dt	50.000001E-12
time stamp (ms)	11:46:29 PM
	
Time	Amplitude
0.000000E+0	1.754114E-3
5.000000E-11	1.815780E-3
1.000000E-10	1.874020E-3
1.500000E-10	1.945964E-3
2.000000E-10	2.017908E-3
2.500000E-10	2.059019E-3
3.000000E-10	2.079574E-3
3.500000E-10	2.096703E-3
4.000000E-10	2.110407E-3
4.500000E-10	2.103555E-3
5.000000E-10	2.093277E-3
5.500000E-10	2.106981E-3
6.000000E-10	2.144666E-3
6.500000E-10	2.168647E-3
7.000000E-10	2.182351E-3
7.500000E-10	2.216609E-3
8.000000E-10	2.254294E-3
8.500000E-10	2.257720E-3
9.000000E-10	2.244017E-3
9.500000E-10	2.233739E-3
1.000000E-9	2.189202E-3
1.050000E-9	2.093277E-3
1.100000E-9	2.000778E-3
1.150000E-9	1.935687E-3
1.200000E-9	1.870595E-3
1.250000E-9	1.805503E-3
1.300000E-9	1.767818E-3
1.350000E-9	1.771244E-3
1.400000E-9	1.798651E-3
1.450000E-9	1.832910E-3
1.500000E-9	1.880872E-3
1.550000E-9	1.942538E-3
1.600000E-9	1.983649E-3
1.650000E-9	1.973371E-3
1.700000E-9	1.932261E-3
1.750000E-9	1.874020E-3
1.800000E-9	1.795225E-3
1.850000E-9	1.695874E-3
1.900000E-9	1.599949E-3
1.950000E-9	1.510876E-3
2.000000E-9	1.435507E-3
2.050000E-9	1.384118E-3
2.100000E-9	1.356711E-3
2.150000E-9	1.339582E-3
2.200000E-9	1.339582E-3
2.250000E-9	1.353285E-3
2.300000E-9	1.373841E-3
2.350000E-9	1.418377E-3
2.400000E-9	1.480043E-3
2.450000E-9	1.531431E-3
2.500000E-9	1.586246E-3
2.550000E-9	1.665041E-3
2.600000E-9	1.754114E-3
2.650000E-9	1.819206E-3
2.700000E-9	1.874020E-3
2.750000E-9	1.928835E-3
2.800000E-9	1.969945E-3
2.850000E-9	1.966520E-3
2.900000E-9	1.908279E-3
2.950000E-9	1.843187E-3
3.000000E-9	1.788373E-3
3.050000E-9	1.713004E-3
3.100000E-9	1.620505E-3
3.150000E-9	1.562264E-3
3.200000E-9	1.551987E-3
3.250000E-9	1.558839E-3
3.300000E-9	1.572542E-3
3.350000E-9	1.623931E-3
3.400000E-9	1.692448E-3
3.450000E-9	1.726707E-3
3.500000E-9	1.733559E-3
3.550000E-9	1.743837E-3
3.600000E-9	1.736985E-3
3.650000E-9	1.685597E-3
3.700000E-9	1.610227E-3
3.750000E-9	1.551987E-3
3.800000E-9	1.490321E-3
3.850000E-9	1.432081E-3
3.900000E-9	1.401248E-3
3.950000E-9	1.401248E-3
4.000000E-9	1.418377E-3
4.050000E-9	1.452636E-3
4.100000E-9	1.507450E-3
4.150000E-9	1.582820E-3
4.200000E-9	1.668467E-3
4.250000E-9	1.723281E-3
4.300000E-9	1.736985E-3
4.350000E-9	1.754114E-3
4.400000E-9	1.771244E-3
4.450000E-9	1.750688E-3
4.500000E-9	1.723281E-3
4.550000E-9	1.723281E-3
4.600000E-9	1.723281E-3
4.650000E-9	1.723281E-3
4.700000E-9	1.750688E-3
4.750000E-9	1.805503E-3
4.800000E-9	1.863743E-3
4.850000E-9	1.911705E-3
4.900000E-9	1.956242E-3
4.950000E-9	1.993927E-3
5.000000E-9	2.028186E-3
5.050000E-9	2.045315E-3
5.100000E-9	2.031611E-3
5.150000E-9	2.004204E-3
5.200000E-9	1.987075E-3
5.250000E-9	1.949390E-3
5.300000E-9	1.887724E-3
5.350000E-9	1.843187E-3
5.400000E-9	1.826058E-3
5.450000E-9	1.798651E-3
5.500000E-9	1.757540E-3
5.550000E-9	1.733559E-3
5.600000E-9	1.730133E-3
5.650000E-9	1.726707E-3
5.700000E-9	1.740411E-3
5.750000E-9	1.771244E-3
5.800000E-9	1.805503E-3
5.850000E-9	1.832910E-3
5.900000E-9	1.863743E-3
5.950000E-9	1.908279E-3
6.000000E-9	1.959668E-3
6.050000E-9	1.990501E-3
6.100000E-9	1.997353E-3
6.150000E-9	1.993927E-3
6.200000E-9	1.976797E-3
6.250000E-9	1.928835E-3
6.300000E-9	1.860317E-3
6.350000E-9	1.791799E-3
6.400000E-9	1.716430E-3
6.450000E-9	1.623931E-3
6.500000E-9	1.541709E-3
6.550000E-9	1.480043E-3
6.600000E-9	1.421803E-3
6.650000E-9	1.370415E-3
6.700000E-9	1.346433E-3
6.750000E-9	1.346433E-3
6.800000E-9	1.363563E-3
6.850000E-9	1.401248E-3
6.900000E-9	1.452636E-3
6.950000E-9	1.521154E-3
7.000000E-9	1.593097E-3
7.050000E-9	1.647912E-3
7.100000E-9	1.702726E-3
7.150000E-9	1.788373E-3
7.200000E-9	1.877446E-3
7.250000E-9	1.921983E-3
7.300000E-9	1.949390E-3
7.350000E-9	2.000778E-3
7.400000E-9	2.059019E-3
7.450000E-9	2.106981E-3
7.500000E-9	2.141240E-3
7.550000E-9	2.172073E-3
7.600000E-9	2.220035E-3
7.650000E-9	2.271424E-3
7.700000E-9	2.267998E-3
7.750000E-9	2.230313E-3
7.800000E-9	2.216609E-3
7.850000E-9	2.192628E-3
7.900000E-9	2.117259E-3
7.950000E-9	2.065870E-3
8.000000E-9	2.038463E-3
8.050000E-9	1.956242E-3
8.100000E-9	1.877446E-3
8.150000E-9	1.880872E-3
8.200000E-9	1.877446E-3
8.250000E-9	1.808929E-3
8.300000E-9	1.795225E-3
8.350000E-9	1.846613E-3
8.400000E-9	1.874020E-3
8.450000E-9	1.911705E-3
8.500000E-9	1.980223E-3
8.550000E-9	1.973371E-3
8.600000E-9	1.904853E-3
8.650000E-9	1.898002E-3
8.700000E-9	1.928835E-3
8.750000E-9	1.908279E-3
8.800000E-9	1.839762E-3
8.850000E-9	1.757540E-3
8.900000E-9	1.651338E-3
8.950000E-9	1.569116E-3
9.000000E-9	1.538283E-3
9.050000E-9	1.504024E-3
9.100000E-9	1.483469E-3
9.150000E-9	1.551987E-3
9.200000E-9	1.665041E-3
9.250000E-9	1.743837E-3
9.300000E-9	1.829484E-3
9.350000E-9	1.963094E-3
9.400000E-9	2.089852E-3
9.450000E-9	2.182351E-3
9.500000E-9	2.233739E-3
9.550000E-9	2.202906E-3
9.600000E-9	2.127536E-3
9.650000E-9	2.086426E-3
9.700000E-9	2.059019E-3
9.750000E-9	1.983649E-3
9.800000E-9	1.891150E-3
9.850000E-9	1.802077E-3
9.900000E-9	1.706152E-3
9.950000E-9	1.627356E-3
1.000000E-8	1.582820E-3
1.005000E-8	1.524580E-3
1.010000E-8	1.456062E-3
1.015000E-8	1.462914E-3
1.020000E-8	1.483469E-3
1.025000E-8	1.428655E-3
1.030000E-8	1.411525E-3
1.035000E-8	1.507450E-3
1.040000E-8	1.579394E-3
1.045000E-8	1.575968E-3
1.050000E-8	1.651338E-3
1.055000E-8	1.798651E-3
1.060000E-8	1.853465E-3
1.065000E-8	1.805503E-3
1.070000E-8	1.767818E-3
1.075000E-8	1.750688E-3
1.080000E-8	1.716430E-3
1.085000E-8	1.651338E-3
1.090000E-8	1.572542E-3
1.095000E-8	1.507450E-3
1.100000E-8	1.476617E-3
1.105000E-8	1.449210E-3
1.110000E-8	1.428655E-3
1.115000E-8	1.456062E-3
1.120000E-8	1.504024E-3
1.125000E-8	1.510876E-3
1.130000E-8	1.500598E-3
1.135000E-8	1.521154E-3
1.140000E-8	1.548561E-3
1.145000E-8	1.538283E-3
1.150000E-8	1.497173E-3
1.155000E-8	1.432081E-3
1.160000E-8	1.322452E-3
1.165000E-8	1.127176E-3
1.170000E-8	8.256981E-4
1.175000E-8	3.940360E-4
1.180000E-8	-2.363278E-4
1.185000E-8	-1.140763E-3
1.190000E-8	-2.353528E-3
1.195000E-8	-3.878049E-3
1.200000E-8	-5.738307E-3
1.205000E-8	-7.961710E-3
1.210000E-8	-1.052770E-2
1.215000E-8	-1.335406E-2
1.220000E-8	-1.636199E-2
1.225000E-8	-1.949326E-2
1.230000E-8	-2.266906E-2
1.235000E-8	-2.580032E-2
1.240000E-8	-2.882538E-2
1.245000E-8	-3.167915E-2
1.250000E-8	-3.423829E-2
1.255000E-8	-3.640345E-2
1.260000E-8	-3.820547E-2
1.265000E-8	-3.967517E-2
1.270000E-8	-4.065155E-2
1.275000E-8	-4.103868E-2
1.280000E-8	-4.091535E-2
1.285000E-8	-4.032952E-2
1.290000E-8	-3.924009E-2
1.295000E-8	-3.774297E-2
1.300000E-8	-3.597864E-2
1.305000E-8	-3.396764E-2
1.310000E-8	-3.179905E-2
1.315000E-8	-2.969898E-2
1.320000E-8	-2.777706E-2
1.325000E-8	-2.606411E-2
1.330000E-8	-2.469033E-2
1.335000E-8	-2.377904E-2
1.340000E-8	-2.329599E-2
1.345000E-8	-2.323090E-2
1.350000E-8	-2.359747E-2
1.355000E-8	-2.426552E-2
1.360000E-8	-2.511514E-2
1.365000E-8	-2.621828E-2
1.370000E-8	-2.757836E-2
1.375000E-8	-2.901723E-2
1.380000E-8	-3.039786E-2
1.385000E-8	-3.169970E-2
1.390000E-8	-3.287821E-2
1.395000E-8	-3.389227E-2
1.400000E-8	-3.471449E-2
1.405000E-8	-3.526605E-2
1.410000E-8	-3.549216E-2
1.415000E-8	-3.542365E-2
1.420000E-8	-3.505365E-2
1.425000E-8	-3.432051E-2
1.430000E-8	-3.327561E-2
1.435000E-8	-3.202174E-2
1.440000E-8	-3.059999E-2
1.445000E-8	-2.906519E-2
1.450000E-8	-2.747901E-2
1.455000E-8	-2.586199E-2
1.460000E-8	-2.428608E-2
1.465000E-8	-2.294655E-2
1.470000E-8	-2.193249E-2
1.475000E-8	-2.115481E-2
1.480000E-8	-2.061695E-2
1.485000E-8	-2.042852E-2
1.490000E-8	-2.058612E-2
1.495000E-8	-2.104176E-2
1.500000E-8	-2.180231E-2
1.505000E-8	-2.283692E-2
1.510000E-8	-2.406682E-2
1.515000E-8	-2.546458E-2
1.520000E-8	-2.696170E-2
1.525000E-8	-2.839029E-2
1.530000E-8	-2.969556E-2
1.535000E-8	-3.088777E-2
1.540000E-8	-3.184016E-2
1.545000E-8	-3.242257E-2
1.550000E-8	-3.268978E-2
1.555000E-8	-3.266580E-2
1.560000E-8	-3.223414E-2
1.565000E-8	-3.139480E-2
1.570000E-8	-3.027796E-2
1.575000E-8	-2.897612E-2
1.580000E-8	-2.750984E-2
1.585000E-8	-2.594078E-2
1.590000E-8	-2.434432E-2
1.595000E-8	-2.279239E-2
1.600000E-8	-2.139463E-2
1.605000E-8	-2.022640E-2
1.610000E-8	-1.930141E-2
1.615000E-8	-1.864021E-2
1.620000E-8	-1.829419E-2
1.625000E-8	-1.827364E-2
1.630000E-8	-1.854428E-2
1.635000E-8	-1.909243E-2
1.640000E-8	-1.995233E-2
1.645000E-8	-2.107944E-2
1.650000E-8	-2.238128E-2
1.655000E-8	-2.377562E-2
1.660000E-8	-2.521107E-2
1.665000E-8	-2.662253E-2
1.670000E-8	-2.793122E-2
1.675000E-8	-2.906177E-2
1.680000E-8	-2.993537E-2
1.685000E-8	-3.048351E-2
1.690000E-8	-3.066508E-2
1.695000E-8	-3.047666E-2
1.700000E-8	-2.992852E-2
1.705000E-8	-2.903093E-2
1.710000E-8	-2.780447E-2
1.715000E-8	-2.633818E-2
1.720000E-8	-2.475200E-2
1.725000E-8	-2.311785E-2
1.730000E-8	-2.147685E-2
1.735000E-8	-1.992834E-2
1.740000E-8	-1.859225E-2
1.745000E-8	-1.750281E-2
1.750000E-8	-1.669773E-2
1.755000E-8	-1.624209E-2
1.760000E-8	-1.613588E-2
1.765000E-8	-1.632088E-2
1.770000E-8	-1.679708E-2
1.775000E-8	-1.758846E-2
1.780000E-8	-1.864706E-2
1.785000E-8	-1.988038E-2
1.790000E-8	-2.123018E-2
1.795000E-8	-2.260739E-2
1.800000E-8	-2.394349E-2
1.805000E-8	-2.521792E-2
1.810000E-8	-2.636217E-2
1.815000E-8	-2.727003E-2
1.820000E-8	-2.790724E-2
1.825000E-8	-2.826011E-2
1.830000E-8	-2.826696E-2
1.835000E-8	-2.791752E-2
1.840000E-8	-2.728373E-2
1.845000E-8	-2.638957E-2
1.850000E-8	-2.522820E-2
1.855000E-8	-2.386812E-2
1.860000E-8	-2.240869E-2
1.865000E-8	-2.091843E-2
1.870000E-8	-1.944872E-2
1.875000E-8	-1.807494E-2
1.880000E-8	-1.687930E-2
1.885000E-8	-1.589950E-2
1.890000E-8	-1.516636E-2
1.895000E-8	-1.473127E-2
1.900000E-8	-1.462507E-2
1.905000E-8	-1.482719E-2
1.910000E-8	-1.529311E-2
1.915000E-8	-1.602968E-2
1.920000E-8	-1.702662E-2
1.925000E-8	-1.822568E-2
1.930000E-8	-1.956177E-2
1.935000E-8	-2.095269E-2
1.940000E-8	-2.231962E-2
1.945000E-8	-2.360775E-2
1.950000E-8	-2.476228E-2
1.955000E-8	-2.570439E-2
1.960000E-8	-2.634846E-2
1.965000E-8	-2.666364E-2
1.970000E-8	-2.664309E-2
1.975000E-8	-2.626967E-2
1.980000E-8	-2.556736E-2
1.985000E-8	-2.457728E-2
1.990000E-8	-2.334396E-2
1.995000E-8	-2.194277E-2
2.000000E-8	-2.045251E-2
2.005000E-8	-1.895197E-2
2.010000E-8	-1.753022E-2
2.015000E-8	-1.624551E-2
2.020000E-8	-1.513552E-2
2.025000E-8	-1.428248E-2
2.030000E-8	-1.373776E-2
2.035000E-8	-1.349452E-2
2.040000E-8	-1.354934E-2
2.045000E-8	-1.392276E-2
2.050000E-8	-1.459766E-2
2.055000E-8	-1.551237E-2
2.060000E-8	-1.662236E-2
2.065000E-8	-1.789679E-2
2.070000E-8	-1.927057E-2
2.075000E-8	-2.065463E-2
2.080000E-8	-2.197360E-2
2.085000E-8	-2.317266E-2
2.090000E-8	-2.419015E-2
2.095000E-8	-2.493700E-2
2.100000E-8	-2.535495E-2
2.105000E-8	-2.544060E-2
2.110000E-8	-2.520421E-2
2.115000E-8	-2.463209E-2
2.120000E-8	-2.374479E-2
2.125000E-8	-2.262452E-2
2.130000E-8	-2.132953E-2
2.135000E-8	-1.990779E-2
2.140000E-8	-1.843466E-2
2.145000E-8	-1.702662E-2
2.150000E-8	-1.574876E-2
2.155000E-8	-1.463534E-2
2.160000E-8	-1.372748E-2
2.165000E-8	-1.308684E-2
2.170000E-8	-1.274083E-2
2.175000E-8	-1.267231E-2
2.180000E-8	-1.289157E-2
2.185000E-8	-1.339517E-2
2.190000E-8	-1.415229E-2
2.195000E-8	-1.512867E-2
2.200000E-8	-1.627292E-2
2.205000E-8	-1.753022E-2
2.210000E-8	-1.883891E-2
2.215000E-8	-2.012362E-2
2.220000E-8	-2.131240E-2
2.225000E-8	-2.235387E-2
2.230000E-8	-2.321720E-2
2.235000E-8	-2.381330E-2
2.240000E-8	-2.407710E-2
2.245000E-8	-2.402228E-2
