Study Name	V44_832864
Sample Name	09-04-2025
Run Name	470C-Fe-into-V44
Operator	Alicia
Date	9/4/2025
Time	14:25
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	9
dt	50.000001E-12
time stamp (ms)	2:34:45 PM
	
Time	Amplitude
0.000000E+0	-6.029307E-4
5.000000E-11	-6.474674E-4
1.000000E-10	-6.885782E-4
1.500000E-10	-7.108466E-4
2.000000E-10	-6.851523E-4
2.500000E-10	-6.286249E-4
3.000000E-10	-5.635328E-4
3.500000E-10	-4.813112E-4
4.000000E-10	-3.785342E-4
4.500000E-10	-2.826090E-4
5.000000E-10	-1.883968E-4
5.500000E-10	-8.733273E-5
6.000000E-10	-5.111131E-6
6.500000E-10	4.285147E-5
7.000000E-10	5.998097E-5
7.500000E-10	6.340687E-5
8.000000E-10	5.998097E-5
8.500000E-10	4.627737E-5
9.000000E-10	2.400902E-5
9.500000E-10	5.166569E-6
1.000000E-9	3.453619E-6
1.050000E-9	1.373132E-5
1.100000E-9	2.914787E-5
1.150000E-9	3.086082E-5
1.200000E-9	2.572197E-5
1.250000E-9	1.887017E-5
1.300000E-9	1.544427E-5
1.350000E-9	1.201837E-5
1.400000E-9	-5.111131E-6
1.450000E-9	-4.450898E-5
1.500000E-9	-9.932338E-5
1.550000E-9	-1.455730E-4
1.600000E-9	-1.832579E-4
1.650000E-9	-2.449241E-4
1.700000E-9	-3.185810E-4
1.750000E-9	-3.751083E-4
1.800000E-9	-3.956637E-4
1.850000E-9	-3.956637E-4
1.900000E-9	-3.905249E-4
1.950000E-9	-3.853860E-4
2.000000E-9	-3.733954E-4
2.050000E-9	-3.511270E-4
2.100000E-9	-3.305716E-4
2.150000E-9	-3.134421E-4
2.200000E-9	-2.808961E-4
2.250000E-9	-2.226558E-4
2.300000E-9	-1.592766E-4
2.350000E-9	-1.164529E-4
2.400000E-9	-7.705503E-5
2.450000E-9	-3.080538E-5
2.500000E-9	-3.398181E-6
