Study Name	V44_832864
Sample Name	09-04-2025
Run Name	470C-baseline
Operator	Alicia
Date	9/4/2025
Time	14:43
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	2:44:05 PM
	
Time	Amplitude
0.000000E+0	-1.284435E-4
5.000000E-11	-2.329335E-4
1.000000E-10	-3.322846E-4
1.500000E-10	-4.059414E-4
2.000000E-10	-4.590429E-4
2.500000E-10	-5.035796E-4
3.000000E-10	-5.207091E-4
3.500000E-10	-4.898760E-4
4.000000E-10	-4.402004E-4
4.500000E-10	-3.802472E-4
5.000000E-10	-2.945997E-4
5.500000E-10	-1.866838E-4
6.000000E-10	-9.247158E-5
6.500000E-10	-1.196293E-5
7.000000E-10	5.312917E-5
7.500000E-10	9.423997E-5
8.000000E-10	1.113695E-4
8.500000E-10	1.147954E-4
9.000000E-10	1.096565E-4
9.500000E-10	1.010918E-4
1.000000E-9	7.539752E-5
1.050000E-9	2.229607E-5
1.100000E-9	-4.793488E-5
1.150000E-9	-1.233047E-4
1.200000E-9	-2.106651E-4
1.250000E-9	-3.083033E-4
1.300000E-9	-4.162191E-4
1.350000E-9	-5.378386E-4
1.400000E-9	-6.731617E-4
1.450000E-9	-7.827905E-4
1.500000E-9	-8.547344E-4
1.550000E-9	-8.992711E-4
1.600000E-9	-9.249653E-4
1.650000E-9	-9.232524E-4
1.700000E-9	-8.924193E-4
1.750000E-9	-8.581603E-4
1.800000E-9	-8.376049E-4
1.850000E-9	-8.033459E-4
1.900000E-9	-7.485315E-4
1.950000E-9	-6.988559E-4
2.000000E-9	-6.663099E-4
2.050000E-9	-6.526063E-4
2.100000E-9	-6.457545E-4
2.150000E-9	-6.303379E-4
2.200000E-9	-5.892271E-4
2.250000E-9	-5.344127E-4
2.300000E-9	-4.539040E-4
2.350000E-9	-3.237198E-4
2.400000E-9	-1.781191E-4
2.450000E-9	-5.649963E-5
2.500000E-9	5.141622E-5
2.550000E-9	1.404896E-4
2.600000E-9	1.593321E-4
2.650000E-9	1.096565E-4
2.700000E-9	1.544427E-5
2.750000E-9	-1.421471E-4
2.800000E-9	-3.528400E-4
2.850000E-9	-5.515422E-4
2.900000E-9	-7.228372E-4
2.950000E-9	-8.872804E-4
3.000000E-9	-1.014039E-3
3.050000E-9	-1.077418E-3
3.100000E-9	-1.085983E-3
3.150000E-9	-1.038020E-3
3.200000E-9	-9.369560E-4
3.250000E-9	-7.930682E-4
3.300000E-9	-6.149213E-4
3.350000E-9	-4.145062E-4
3.400000E-9	-2.295076E-4
3.450000E-9	-8.390683E-5
3.500000E-9	2.058312E-5
3.550000E-9	8.224932E-5
3.600000E-9	1.010918E-4
3.650000E-9	9.081407E-5
3.700000E-9	4.113852E-5
3.750000E-9	-4.622193E-5
3.800000E-9	-1.455730E-4
3.850000E-9	-2.346464E-4
3.900000E-9	-3.185810E-4
3.950000E-9	-4.008026E-4
4.000000E-9	-4.573299E-4
4.050000E-9	-4.830242E-4
4.100000E-9	-4.915889E-4
4.150000E-9	-4.813112E-4
4.200000E-9	-4.504781E-4
4.250000E-9	-4.127932E-4
4.300000E-9	-3.699695E-4
4.350000E-9	-3.305716E-4
4.400000E-9	-3.014515E-4
4.450000E-9	-2.791831E-4
4.500000E-9	-2.449241E-4
4.550000E-9	-1.986745E-4
4.600000E-9	-1.695543E-4
4.650000E-9	-1.489989E-4
