Study Name	V44_832864
Sample Name	09-04-2025
Run Name	470C-baseline
Operator	Alicia
Date	9/4/2025
Time	14:43
Sign	NEG
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	10
dt	50.000001E-12
time stamp (ms)	2:53:22 PM
	
Time	Amplitude
0.000000E+0	-9.251533E-5
5.000000E-11	-1.473297E-4
1.000000E-10	-1.952923E-4
1.500000E-10	-2.141348E-4
2.000000E-10	-2.209866E-4
2.500000E-10	-2.226995E-4
3.000000E-10	-2.038571E-4
3.500000E-10	-1.730240E-4
4.000000E-10	-1.593204E-4
4.500000E-10	-1.541815E-4
5.000000E-10	-1.421909E-4
5.500000E-10	-1.319132E-4
6.000000E-10	-1.370520E-4
6.500000E-10	-1.644592E-4
7.000000E-10	-2.124218E-4
7.500000E-10	-2.775139E-4
8.000000E-10	-3.494578E-4
8.500000E-10	-4.265406E-4
9.000000E-10	-5.104751E-4
9.500000E-10	-5.807061E-4
1.000000E-9	-6.252428E-4
1.050000E-9	-6.509370E-4
1.100000E-9	-6.406593E-4
1.150000E-9	-5.841320E-4
1.200000E-9	-5.053363E-4
1.250000E-9	-4.179758E-4
1.300000E-9	-3.117729E-4
1.350000E-9	-1.952923E-4
1.400000E-9	-1.027930E-4
1.450000E-9	-3.770093E-5
1.500000E-9	1.540052E-5
1.550000E-9	4.794658E-5
1.600000E-9	4.280773E-5
1.650000E-9	1.711347E-5
1.700000E-9	-2.399733E-5
1.750000E-9	-8.395058E-5
1.800000E-9	-1.558945E-4
1.850000E-9	-2.158477E-4
1.900000E-9	-2.569585E-4
1.950000E-9	-2.860787E-4
2.000000E-9	-3.134859E-4
2.050000E-9	-3.357542E-4
2.100000E-9	-3.374672E-4
2.150000E-9	-3.117729E-4
2.200000E-9	-2.826528E-4
2.250000E-9	-2.638103E-4
2.300000E-9	-2.501067E-4
2.350000E-9	-2.295513E-4
2.400000E-9	-2.089959E-4
2.450000E-9	-1.952923E-4
2.500000E-9	-1.901535E-4
2.550000E-9	-1.935794E-4
2.600000E-9	-2.038571E-4
2.650000E-9	-2.158477E-4
2.700000E-9	-2.244125E-4
2.750000E-9	-2.175607E-4
2.800000E-9	-1.918664E-4
2.850000E-9	-1.524686E-4
2.900000E-9	-9.765418E-5
2.950000E-9	-4.112683E-5
3.000000E-9	8.548724E-6
3.050000E-9	5.308543E-5
3.100000E-9	9.248328E-5
3.150000E-9	1.198905E-4
3.200000E-9	1.353070E-4
3.250000E-9	1.301682E-4
3.300000E-9	9.590918E-5
3.350000E-9	4.452068E-5
3.400000E-9	1.696924E-6
3.450000E-9	-2.913618E-5
3.500000E-9	-5.311748E-5
3.550000E-9	-6.510813E-5
3.600000E-9	-5.825633E-5
3.650000E-9	-4.283978E-5
3.700000E-9	-2.913618E-5
3.750000E-9	-1.543258E-5
3.800000E-9	-8.580776E-6
3.850000E-9	-1.714553E-5
3.900000E-9	-2.913618E-5
3.950000E-9	-4.455273E-5
4.000000E-9	-7.367288E-5
4.050000E-9	-1.062189E-4
4.100000E-9	-1.267743E-4
4.150000E-9	-1.353391E-4
4.200000E-9	-1.370520E-4
4.250000E-9	-1.404779E-4
4.300000E-9	-1.319132E-4
4.350000E-9	-1.096448E-4
4.400000E-9	-8.566353E-5
4.450000E-9	-7.024698E-5
4.500000E-9	-6.510813E-5
4.550000E-9	-7.024698E-5
4.600000E-9	-8.737648E-5
4.650000E-9	-1.130707E-4
